componente,unidade,Valor por 100g,Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,441,198,BRC0675A,Nome não encontrado
Energia,kcal,105,47,BRC0675A,Nome não encontrado
Umidade,g,"74,5","33,5",BRC0675A,Nome não encontrado
Carboidrato total,g,"16,3","7,35",BRC0675A,Nome não encontrado
Carboidrato disponível,g,"14,7","6,60",BRC0675A,Nome não encontrado
Proteína,g,"6,20","2,79",BRC0675A,Nome não encontrado
Lipídios,g,"1,99","0,89",BRC0675A,Nome não encontrado
Fibra alimentar,g,"1,67","0,75",BRC0675A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0675A,Nome não encontrado
Cinzas,g,"1,14","0,51",BRC0675A,Nome não encontrado
Colesterol,mg,"12,3","5,53",BRC0675A,Nome não encontrado
Ácidos graxos saturados,g,"0,41","0,18",BRC0675A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,59","0,27",BRC0675A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,45",BRC0675A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0675A,Nome não encontrado
Cálcio,mg,"4,08","1,83",BRC0675A,Nome não encontrado
Ferro,mg,"1,13","0,51",BRC0675A,Nome não encontrado
Sódio,mg,479,215,BRC0675A,Nome não encontrado
Magnésio,mg,"8,06","3,63",BRC0675A,Nome não encontrado
Fósforo,mg,"49,6","22,3",BRC0675A,Nome não encontrado
Potássio,mg,159,"71,6",BRC0675A,Nome não encontrado
Manganês,mg,"0,02","0,01",BRC0675A,Nome não encontrado
Zinco,mg,"0,22","0,10",BRC0675A,Nome não encontrado
Cobre,mg,"0,06","0,03",BRC0675A,Nome não encontrado
Selênio,mcg,"2,42","1,09",BRC0675A,Nome não encontrado
Vitamina A (RE),mcg,"29,2","13,1",BRC0675A,Nome não encontrado
Vitamina A (RAE),mcg,"14,6","6,56",BRC0675A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0675A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,34","0,15",BRC0675A,Nome não encontrado
Tiamina,mg,"0,07","0,03",BRC0675A,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0675A,Nome não encontrado
Niacina,mg,"1,06","0,48",BRC0675A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0675A,Nome não encontrado
Vitamina B12,mcg,"0,02","0,01",BRC0675A,Nome não encontrado
Vitamina C,mg,"4,24","1,91",BRC0675A,Nome não encontrado
Equivalente de folato,mcg,"45,5","20,5",BRC0675A,Nome não encontrado
Sal de adição,g,"0,47","0,21",BRC0675A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0675A,Nome não encontrado
Gordura de adição,g,-,-,BRC0675A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0675A,Nome não encontrado
Proteína animal,g,-,-,BRC0675A,Nome não encontrado
