componente,unidade,Valor por 100g,Colher sobremesa cheia (7 g),Colher sobremesa rasa (5 g),Colher sopa cheia (10 g),Colher sopa rasa (8 g),codigo_alimento,nome_alimento
Energia,kJ,1509,105,75,150,120,BRC0038G,Nome não encontrado
Energia,kcal,355,24,17,35,28,BRC0038G,Nome não encontrado
Umidade,g,"3,03","0,21","0,15","0,30","0,24",BRC0038G,Nome não encontrado
Carboidrato total,g,"52,1","3,65","2,60","5,21","4,17",BRC0038G,Nome não encontrado
Carboidrato disponível,g,"52,1","3,65","2,60","5,21","4,17",BRC0038G,Nome não encontrado
Proteína,g,"34,4","2,41","1,72","3,44","2,75",BRC0038G,Nome não encontrado
Lipídios,g,"1,06","0,07","0,05","0,11","0,08",BRC0038G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00",BRC0038G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0038G,Nome não encontrado
Cinzas,g,"9,44","0,66","0,47","0,94","0,76",BRC0038G,Nome não encontrado
Colesterol,mg,"28,2","1,97","1,41","2,82","2,25",BRC0038G,Nome não encontrado
Ácidos graxos saturados,g,"0,68","0,05","0,03","0,07","0,05",BRC0038G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,23","0,02","0,01","0,02","0,02",BRC0038G,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,traços,traços,BRC0038G,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,00","0,00","0,00","0,00",BRC0038G,Nome não encontrado
Cálcio,mg,1364,"95,5","68,2",136,109,BRC0038G,Nome não encontrado
Ferro,mg,"0,93","0,06","0,05","0,09","0,07",BRC0038G,Nome não encontrado
Sódio,mg,450,"31,6","22,5","45,1","36,1",BRC0038G,Nome não encontrado
Magnésio,mg,108,"7,61","5,44","10,9","8,70",BRC0038G,Nome não encontrado
Fósforo,mg,1674,117,"83,7",167,133,BRC0038G,Nome não encontrado
Potássio,mg,1556,108,"77,8",155,124,BRC0038G,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,BRC0038G,Nome não encontrado
Zinco,mg,"3,85","0,27","0,19","0,38","0,31",BRC0038G,Nome não encontrado
Cobre,mg,"0,16","0,01","0,01","0,02","0,01",BRC0038G,Nome não encontrado
Selênio,mcg,"16,2","1,13","0,81","1,62","1,30",BRC0038G,Nome não encontrado
Vitamina A (RE),mcg,340,"23,9","17,0","34,1","27,3",BRC0038G,Nome não encontrado
Vitamina A (RAE),mcg,340,"23,8","17,0","34,1","27,3",BRC0038G,Nome não encontrado
Vitamina D,mcg,"0,02","0,00","0,00","0,00","0,00",BRC0038G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,00","0,00","0,00","0,00",BRC0038G,Nome não encontrado
Tiamina,mg,"0,32","0,02","0,02","0,03","0,03",BRC0038G,Nome não encontrado
Riboflavina,mg,"1,20","0,08","0,06","0,12","0,10",BRC0038G,Nome não encontrado
Niacina,mg,"0,81","0,06","0,04","0,08","0,06",BRC0038G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0038G,Nome não encontrado
Vitamina B12,mcg,"3,23","0,23","0,16","0,32","0,26",BRC0038G,Nome não encontrado
Vitamina C,mg,"8,55","0,60","0,43","0,86","0,68",BRC0038G,Nome não encontrado
Equivalente de folato,mcg,"36,8","2,58","1,84","3,68","2,94",BRC0038G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0038G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0038G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0038G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00",BRC0038G,Nome não encontrado
Proteína animal,g,"34,4","2,41","1,72","3,44","2,75",BRC0038G,Nome não encontrado
