componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,165,6,1,BRC0799B,Nome não encontrado
Energia,kcal,40,1,0,BRC0799B,Nome não encontrado
Umidade,g,"85,6","3,42","0,86",BRC0799B,Nome não encontrado
Carboidrato total,g,"8,40","0,34","0,08",BRC0799B,Nome não encontrado
Carboidrato disponível,g,"1,60","0,06","0,02",BRC0799B,Nome não encontrado
Proteína,g,"3,29","0,13","0,03",BRC0799B,Nome não encontrado
Lipídios,g,"0,73","0,03","0,01",BRC0799B,Nome não encontrado
Fibra alimentar,g,"6,80","0,27","0,07",BRC0799B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0799B,Nome não encontrado
Cinzas,g,"2,03","0,08","0,02",BRC0799B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0799B,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,01","0,00",BRC0799B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,00","0,00",BRC0799B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,39","0,02","0,00",BRC0799B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0799B,Nome não encontrado
Cálcio,mg,199,"7,96","1,99",BRC0799B,Nome não encontrado
Ferro,mg,"11,9","0,47","0,12",BRC0799B,Nome não encontrado
Sódio,mg,"30,0","1,20","0,30",BRC0799B,Nome não encontrado
Magnésio,mg,"63,0","2,52","0,63",BRC0799B,Nome não encontrado
Fósforo,mg,"60,0","2,40","0,60",BRC0799B,Nome não encontrado
Potássio,mg,458,"18,3","4,58",BRC0799B,Nome não encontrado
Manganês,mg,"1,12","0,04","0,01",BRC0799B,Nome não encontrado
Zinco,mg,"1,09","0,04","0,01",BRC0799B,Nome não encontrado
Cobre,mg,"0,24","0,01","0,00",BRC0799B,Nome não encontrado
Selênio,mcg,,,,BRC0799B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0799B,Nome não encontrado
Vitamina A (RAE),mcg,203,"8,12","2,03",BRC0799B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0799B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0799B,Nome não encontrado
Tiamina,mg,"0,08","0,00","0,00",BRC0799B,Nome não encontrado
Riboflavina,mg,"0,18","0,01","0,00",BRC0799B,Nome não encontrado
Niacina,mg,"0,95","0,04","0,01",BRC0799B,Nome não encontrado
Vitamina B6,mg,"0,16","0,01","0,00",BRC0799B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0799B,Nome não encontrado
Vitamina C,mg,"13,3","0,53","0,13",BRC0799B,Nome não encontrado
Equivalente de folato,mcg,105,"4,20","1,05",BRC0799B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0799B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0799B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0799B,Nome não encontrado
Proteína vegetal,g,"3,29","0,13","0,03",BRC0799B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0799B,Nome não encontrado
