componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,199,477,328,BRC0110C,Nome não encontrado
Energia,kcal,47,112,77,BRC0110C,Nome não encontrado
Umidade,g,"87,9",211,145,BRC0110C,Nome não encontrado
Carboidrato total,g,"11,4","27,4","18,9",BRC0110C,Nome não encontrado
Carboidrato disponível,g,"11,1","26,6","18,3",BRC0110C,Nome não encontrado
Proteína,g,"0,23","0,54","0,37",BRC0110C,Nome não encontrado
Lipídios,g,"0,11","0,25","0,17",BRC0110C,Nome não encontrado
Fibra alimentar,g,"0,35","0,84","0,58",BRC0110C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0110C,Nome não encontrado
Cinzas,g,"0,16","0,38","0,26",BRC0110C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0110C,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,02","0,01",BRC0110C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,02","0,02",BRC0110C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,08","0,05",BRC0110C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0110C,Nome não encontrado
Cálcio,mg,"6,05","14,5","9,99",BRC0110C,Nome não encontrado
Ferro,mg,"0,16","0,38","0,26",BRC0110C,Nome não encontrado
Sódio,mg,"1,85","4,44","3,05",BRC0110C,Nome não encontrado
Magnésio,mg,"5,27","12,7","8,70",BRC0110C,Nome não encontrado
Fósforo,mg,"3,31","7,93","5,45",BRC0110C,Nome não encontrado
Potássio,mg,"43,7",104,"72,2",BRC0110C,Nome não encontrado
Manganês,mg,"0,47","1,12","0,77",BRC0110C,Nome não encontrado
Zinco,mg,"0,05","0,12","0,08",BRC0110C,Nome não encontrado
Cobre,mg,"0,04","0,09","0,06",BRC0110C,Nome não encontrado
Selênio,mcg,"0,18","0,42","0,29",BRC0110C,Nome não encontrado
Vitamina A (RE),mcg,"0,63","1,51","1,04",BRC0110C,Nome não encontrado
Vitamina A (RAE),mcg,"0,31","0,75","0,52",BRC0110C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0110C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,04","0,02",BRC0110C,Nome não encontrado
Tiamina,mg,"0,05","0,12","0,09",BRC0110C,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,01",BRC0110C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0110C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0110C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0110C,Nome não encontrado
Vitamina C,mg,"10,4","25,0","17,2",BRC0110C,Nome não encontrado
Equivalente de folato,mcg,"3,55","8,52","5,86",BRC0110C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0110C,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0110C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0110C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0110C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0110C,Nome não encontrado
