componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1326,53,13,BRC1078B,Nome não encontrado
Energia,kcal,318,12,3,BRC1078B,Nome não encontrado
Umidade,g,"10,3","0,41","0,10",BRC1078B,Nome não encontrado
Carboidrato total,g,"73,0","2,92","0,73",BRC1078B,Nome não encontrado
Carboidrato disponível,g,"40,9","1,64","0,41",BRC1078B,Nome não encontrado
Proteína,g,"8,67","0,35","0,09",BRC1078B,Nome não encontrado
Lipídios,g,"6,14","0,25","0,06",BRC1078B,Nome não encontrado
Fibra alimentar,g,"32,1","1,28","0,32",BRC1078B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1078B,Nome não encontrado
Cinzas,g,"1,93","0,08","0,02",BRC1078B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1078B,Nome não encontrado
Ácidos graxos saturados,g,"1,02","0,04","0,01",BRC1078B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,81","0,03","0,01",BRC1078B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,70","0,15","0,04",BRC1078B,Nome não encontrado
Ácidos graxos trans,g,,,,BRC1078B,Nome não encontrado
Cálcio,mg,210,"8,42","2,11",BRC1078B,Nome não encontrado
Ferro,mg,"19,4","0,78","0,19",BRC1078B,Nome não encontrado
Sódio,mg,"12,3","0,49","0,12",BRC1078B,Nome não encontrado
Magnésio,mg,163,"6,55","1,64",BRC1078B,Nome não encontrado
Fósforo,mg,288,"11,5","2,89",BRC1078B,Nome não encontrado
Potássio,mg,2096,"83,9","21,0",BRC1078B,Nome não encontrado
Manganês,mg,"1,46","0,06","0,01",BRC1078B,Nome não encontrado
Zinco,mg,"3,98","0,16","0,04",BRC1078B,Nome não encontrado
Cobre,mg,"0,66","0,03","0,01",BRC1078B,Nome não encontrado
Selênio,mcg,"5,79","0,23","0,06",BRC1078B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC1078B,Nome não encontrado
Vitamina A (RAE),mcg,1170,"46,8","11,7",BRC1078B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1078B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"13,8","0,55","0,14",BRC1078B,Nome não encontrado
Tiamina,mg,"0,30","0,01","0,00",BRC1078B,Nome não encontrado
Riboflavina,mg,"1,13","0,05","0,01",BRC1078B,Nome não encontrado
Niacina,mg,"9,29","0,37","0,09",BRC1078B,Nome não encontrado
Vitamina B6,mg,"1,97","0,08","0,02",BRC1078B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1078B,Nome não encontrado
Vitamina C,mg,"0,83","0,03","0,01",BRC1078B,Nome não encontrado
Equivalente de folato,mcg,"45,1","1,80","0,45",BRC1078B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1078B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1078B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC1078B,Nome não encontrado
Proteína vegetal,g,"8,67","0,35","0,09",BRC1078B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC1078B,Nome não encontrado
