componente,unidade,Valor por 100g,Colher sobremesa rasa (8 g),codigo_alimento,nome_alimento
Energia,kJ,3700,296,BRC0050D,Nome não encontrado
Energia,kcal,900,72,BRC0050D,Nome não encontrado
Umidade,g,"0,00","0,00",BRC0050D,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0050D,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0050D,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0050D,Nome não encontrado
Lipídios,g,"100,0","8,00",BRC0050D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0050D,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0050D,Nome não encontrado
Cinzas,g,"0,00","0,00",BRC0050D,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Ácidos graxos saturados,g,"15,2","1,22",BRC0050D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"23,3","1,86",BRC0050D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"60,0","4,80",BRC0050D,Nome não encontrado
Ácidos graxos trans,g,"0,50","0,04",BRC0050D,Nome não encontrado
Cálcio,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Ferro,mg,"0,06","0,00",BRC0050D,Nome não encontrado
Sódio,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Magnésio,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Fósforo,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Potássio,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Zinco,mg,"0,01","0,00",BRC0050D,Nome não encontrado
Cobre,mg,"0,30","0,02",BRC0050D,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0050D,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0050D,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0050D,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0050D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"9,11","0,73",BRC0050D,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0050D,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0050D,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0050D,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0050D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0050D,Nome não encontrado
Gordura de adição,g,-,-,BRC0050D,Nome não encontrado
Proteína vegetal,g,-,-,BRC0050D,Nome não encontrado
Proteína animal,g,-,-,BRC0050D,Nome não encontrado
