componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,298,149,BRC0963B,Nome não encontrado
Energia,kcal,72,35,BRC0963B,Nome não encontrado
Umidade,g,"83,7","41,9",BRC0963B,Nome não encontrado
Carboidrato total,g,"5,68","2,84",BRC0963B,Nome não encontrado
Carboidrato disponível,g,"2,71","1,36",BRC0963B,Nome não encontrado
Proteína,g,"5,63","2,81",BRC0963B,Nome não encontrado
Lipídios,g,"3,58","1,79",BRC0963B,Nome não encontrado
Fibra alimentar,g,"3,01","1,50",BRC0963B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0963B,Nome não encontrado
Cinzas,g,"4,34","2,17",BRC0963B,Nome não encontrado
Colesterol,mg,"58,2","29,1",BRC0963B,Nome não encontrado
Ácidos graxos saturados,g,"0,59","0,29",BRC0963B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,26","0,63",BRC0963B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,54","0,77",BRC0963B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0963B,Nome não encontrado
Cálcio,mg,105,"52,6",BRC0963B,Nome não encontrado
Ferro,mg,"0,94","0,47",BRC0963B,Nome não encontrado
Sódio,mg,1467,733,BRC0963B,Nome não encontrado
Magnésio,mg,"33,5","16,7",BRC0963B,Nome não encontrado
Fósforo,mg,110,"55,4",BRC0963B,Nome não encontrado
Potássio,mg,123,"61,8",BRC0963B,Nome não encontrado
Manganês,mg,"0,23","0,12",BRC0963B,Nome não encontrado
Zinco,mg,"0,57","0,28",BRC0963B,Nome não encontrado
Cobre,mg,"0,17","0,09",BRC0963B,Nome não encontrado
Selênio,mcg,,traços,BRC0963B,Nome não encontrado
Vitamina A (RE),mcg,"32,9","16,4",BRC0963B,Nome não encontrado
Vitamina A (RAE),mcg,"15,9","7,97",BRC0963B,Nome não encontrado
Vitamina D,mcg,,traços,BRC0963B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,traços,BRC0963B,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0963B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0963B,Nome não encontrado
Niacina,mg,"1,09","0,55",BRC0963B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0963B,Nome não encontrado
Vitamina B12,mcg,,traços,BRC0963B,Nome não encontrado
Vitamina C,mg,"10,2","5,12",BRC0963B,Nome não encontrado
Equivalente de folato,mcg,,traços,BRC0963B,Nome não encontrado
Sal de adição,g,"0,32","0,16",BRC0963B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0963B,Nome não encontrado
Gordura de adição,g,-,-,BRC0963B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0963B,Nome não encontrado
Proteína animal,g,-,-,BRC0963B,Nome não encontrado
