componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,70,28,17,10,BRC0047B,Nome não encontrado
Energia,kcal,17,6,4,2,BRC0047B,Nome não encontrado
Umidade,g,"94,6","37,8","23,6","14,2",BRC0047B,Nome não encontrado
Carboidrato total,g,"4,31","1,72","1,08","0,65",BRC0047B,Nome não encontrado
Carboidrato disponível,g,"2,13","0,85","0,53","0,32",BRC0047B,Nome não encontrado
Proteína,g,"0,54","0,22","0,14","0,08",BRC0047B,Nome não encontrado
Lipídios,g,"0,20","0,08","0,05","0,03",BRC0047B,Nome não encontrado
Fibra alimentar,g,"2,18","0,87","0,55","0,33",BRC0047B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0047B,Nome não encontrado
Cinzas,g,"0,38","0,15","0,09","0,06",BRC0047B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0047B,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,traços,BRC0047B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,traços,BRC0047B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,04","0,02","0,01",BRC0047B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0047B,Nome não encontrado
Cálcio,mg,"16,7","6,67","4,17","2,50",BRC0047B,Nome não encontrado
Ferro,mg,"0,17","0,07","0,04","0,03",BRC0047B,Nome não encontrado
Sódio,mg,"5,13","2,05","1,28","0,77",BRC0047B,Nome não encontrado
Magnésio,mg,"9,42","3,77","2,35","1,41",BRC0047B,Nome não encontrado
Fósforo,mg,"17,4","6,96","4,35","2,61",BRC0047B,Nome não encontrado
Potássio,mg,232,"92,8","58,0","34,8",BRC0047B,Nome não encontrado
Manganês,mg,"0,03","0,01","0,01","0,00",BRC0047B,Nome não encontrado
Zinco,mg,"0,15","0,06","0,04","0,02",BRC0047B,Nome não encontrado
Cobre,mg,"0,01","0,00","0,00","0,00",BRC0047B,Nome não encontrado
Selênio,mcg,"0,30","0,12","0,07","0,04",BRC0047B,Nome não encontrado
Vitamina A (RE),mcg,660,264,165,"99,1",BRC0047B,Nome não encontrado
Vitamina A (RAE),mcg,330,132,"82,6","49,5",BRC0047B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0047B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,11","0,45","0,28","0,17",BRC0047B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,01",BRC0047B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0047B,Nome não encontrado
Niacina,mg,"1,75","0,70","0,44","0,26",BRC0047B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,01","0,01",BRC0047B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0047B,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0047B,Nome não encontrado
Equivalente de folato,mcg,"7,73","3,09","1,93","1,16",BRC0047B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0047B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0047B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0047B,Nome não encontrado
Proteína vegetal,g,"0,54","0,22","0,14","0,08",BRC0047B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0047B,Nome não encontrado
