componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Colher sopa rasa (18 g),codigo_alimento,nome_alimento
Energia,kJ,117,29,21,BRC0471B,Nome não encontrado
Energia,kcal,28,7,5,BRC0471B,Nome não encontrado
Umidade,g,"91,8","23,0","16,5",BRC0471B,Nome não encontrado
Carboidrato total,g,"6,29","1,57","1,13",BRC0471B,Nome não encontrado
Carboidrato disponível,g,"4,45","1,11","0,80",BRC0471B,Nome não encontrado
Proteína,g,"1,20","0,30","0,22",BRC0471B,Nome não encontrado
Lipídios,g,"0,17","0,04","0,03",BRC0471B,Nome não encontrado
Fibra alimentar,g,"1,83","0,46","0,33",BRC0471B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
Cinzas,g,"0,51","0,13","0,09",BRC0471B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00","0,00",BRC0471B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,01","0,01",BRC0471B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
Cálcio,mg,"6,96","1,74","1,25",BRC0471B,Nome não encontrado
Ferro,mg,"0,30","0,08","0,05",BRC0471B,Nome não encontrado
Sódio,mg,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
Magnésio,mg,"11,5","2,88","2,07",BRC0471B,Nome não encontrado
Fósforo,mg,"21,8","5,45","3,92",BRC0471B,Nome não encontrado
Potássio,mg,205,"51,3","36,9",BRC0471B,Nome não encontrado
Manganês,mg,"0,07","0,02","0,01",BRC0471B,Nome não encontrado
Zinco,mg,"0,20","0,05","0,04",BRC0471B,Nome não encontrado
Cobre,mg,"0,06","0,02","0,01",BRC0471B,Nome não encontrado
Selênio,mcg,"0,22","0,06","0,04",BRC0471B,Nome não encontrado
Vitamina A (RE),mcg,"70,7","17,7","12,7",BRC0471B,Nome não encontrado
Vitamina A (RAE),mcg,"35,4","8,85","6,37",BRC0471B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,89","0,22","0,16",BRC0471B,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0471B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0471B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0471B,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,00",BRC0471B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
Vitamina C,mg,136,"34,0","24,5",BRC0471B,Nome não encontrado
Equivalente de folato,mcg,"28,9","7,23","5,20",BRC0471B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
Proteína vegetal,g,"1,20","0,30","0,22",BRC0471B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0471B,Nome não encontrado
