componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,477,286,214,BRC0336E,Nome não encontrado
Energia,kcal,114,68,51,BRC0336E,Nome não encontrado
Umidade,g,"75,3","45,2","33,9",BRC0336E,Nome não encontrado
Carboidrato total,g,"10,3","6,20","4,65",BRC0336E,Nome não encontrado
Carboidrato disponível,g,"9,50","5,70","4,27",BRC0336E,Nome não encontrado
Proteína,g,"8,98","5,39","4,04",BRC0336E,Nome não encontrado
Lipídios,g,"4,23","2,54","1,90",BRC0336E,Nome não encontrado
Fibra alimentar,g,"0,83","0,50","0,37",BRC0336E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0336E,Nome não encontrado
Cinzas,g,"1,19","0,71","0,53",BRC0336E,Nome não encontrado
Colesterol,mg,"19,9","11,9","8,94",BRC0336E,Nome não encontrado
Ácidos graxos saturados,g,"1,43","0,86","0,64",BRC0336E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,44","0,86","0,65",BRC0336E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,91","0,54","0,41",BRC0336E,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01",BRC0336E,Nome não encontrado
Cálcio,mg,"30,9","18,5","13,9",BRC0336E,Nome não encontrado
Ferro,mg,"0,35","0,21","0,16",BRC0336E,Nome não encontrado
Sódio,mg,204,122,"91,9",BRC0336E,Nome não encontrado
Magnésio,mg,"21,4","12,8","9,62",BRC0336E,Nome não encontrado
Fósforo,mg,105,"63,5","47,6",BRC0336E,Nome não encontrado
Potássio,mg,216,129,"97,4",BRC0336E,Nome não encontrado
Manganês,mg,"0,08","0,05","0,03",BRC0336E,Nome não encontrado
Zinco,mg,"0,29","0,17","0,13",BRC0336E,Nome não encontrado
Cobre,mg,"0,04","0,02","0,02",BRC0336E,Nome não encontrado
Selênio,mcg,"12,5","7,49","5,62",BRC0336E,Nome não encontrado
Vitamina A (RE),mcg,"21,6","13,0","9,74",BRC0336E,Nome não encontrado
Vitamina A (RAE),mcg,"14,5","8,68","6,51",BRC0336E,Nome não encontrado
Vitamina D,mcg,"0,59","0,35","0,26",BRC0336E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,50","0,30","0,22",BRC0336E,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01",BRC0336E,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0336E,Nome não encontrado
Niacina,mg,"0,89","0,54","0,40",BRC0336E,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0336E,Nome não encontrado
Vitamina B12,mcg,"1,77","1,06","0,79",BRC0336E,Nome não encontrado
Vitamina C,mg,"5,42","3,25","2,44",BRC0336E,Nome não encontrado
Equivalente de folato,mcg,"10,4","6,23","4,67",BRC0336E,Nome não encontrado
Sal de adição,g,"0,45","0,27","0,20",BRC0336E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0336E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0336E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0336E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0336E,Nome não encontrado
