componente,unidade,Valor por 100g,Colher sobremesa rasa (10 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,2641,264,396,BRC0025U,Nome não encontrado
Energia,kcal,639,63,95,BRC0025U,Nome não encontrado
Umidade,g,"1,00","0,10","0,15",BRC0025U,Nome não encontrado
Carboidrato total,g,"20,6","2,06","3,09",BRC0025U,Nome não encontrado
Carboidrato disponível,g,"9,09","0,91","1,36",BRC0025U,Nome não encontrado
Proteína,g,"17,2","1,72","2,58",BRC0025U,Nome não encontrado
Lipídios,g,"56,8","5,68","8,52",BRC0025U,Nome não encontrado
Fibra alimentar,g,"11,5","1,15","1,73",BRC0025U,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0025U,Nome não encontrado
Cinzas,g,"4,40","0,44","0,66",BRC0025U,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0025U,Nome não encontrado
Ácidos graxos saturados,g,"5,95","0,60","0,89",BRC0025U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"10,8","1,08","1,63",BRC0025U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"37,5","3,75","5,63",BRC0025U,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0025U,Nome não encontrado
Cálcio,mg,"57,0","5,70","8,55",BRC0025U,Nome não encontrado
Ferro,mg,"6,81","0,68","1,02",BRC0025U,Nome não encontrado
Sódio,mg,"3,00","0,30","0,45",BRC0025U,Nome não encontrado
Magnésio,mg,129,"12,9","19,4",BRC0025U,Nome não encontrado
Fósforo,mg,1158,115,173,BRC0025U,Nome não encontrado
Potássio,mg,491,"49,1","73,7",BRC0025U,Nome não encontrado
Manganês,mg,"2,11","0,21","0,32",BRC0025U,Nome não encontrado
Zinco,mg,"5,30","0,53","0,80",BRC0025U,Nome não encontrado
Cobre,mg,"1,83","0,18","0,28",BRC0025U,Nome não encontrado
Selênio,mcg,,,,BRC0025U,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0025U,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0025U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0025U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0025U,Nome não encontrado
Tiamina,mg,"0,33","0,03","0,05",BRC0025U,Nome não encontrado
Riboflavina,mg,"0,29","0,03","0,04",BRC0025U,Nome não encontrado
Niacina,mg,"4,20","0,42","0,63",BRC0025U,Nome não encontrado
Vitamina B6,mg,"0,81","0,08","0,12",BRC0025U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0025U,Nome não encontrado
Vitamina C,mg,"1,40","0,14","0,21",BRC0025U,Nome não encontrado
Equivalente de folato,mcg,238,"23,8","35,7",BRC0025U,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0025U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0025U,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0025U,Nome não encontrado
Proteína vegetal,g,"17,2","1,72","2,58",BRC0025U,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0025U,Nome não encontrado
