componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,492,393,221,BRC1054B,Nome não encontrado
Energia,kcal,117,93,52,BRC1054B,Nome não encontrado
Umidade,g,"74,0","59,2","33,3",BRC1054B,Nome não encontrado
Carboidrato total,g,"18,0","14,4","8,10",BRC1054B,Nome não encontrado
Carboidrato disponível,g,"16,6","13,3","7,49",BRC1054B,Nome não encontrado
Proteína,g,"2,26","1,81","1,02",BRC1054B,Nome não encontrado
Lipídios,g,"4,34","3,47","1,95",BRC1054B,Nome não encontrado
Fibra alimentar,g,"1,36","1,09","0,61",BRC1054B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1054B,Nome não encontrado
Cinzas,g,"1,37","1,09","0,62",BRC1054B,Nome não encontrado
Colesterol,mg,"10,9","8,74","4,92",BRC1054B,Nome não encontrado
Ácidos graxos saturados,g,"2,58","2,06","1,16",BRC1054B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,09","0,87","0,49",BRC1054B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,13","0,10","0,06",BRC1054B,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,10","0,06",BRC1054B,Nome não encontrado
Cálcio,mg,"23,7","18,9","10,7",BRC1054B,Nome não encontrado
Ferro,mg,"0,03","0,02","0,01",BRC1054B,Nome não encontrado
Sódio,mg,194,155,"87,4",BRC1054B,Nome não encontrado
Magnésio,mg,"15,6","12,5","7,01",BRC1054B,Nome não encontrado
Fósforo,mg,"58,8","47,0","26,4",BRC1054B,Nome não encontrado
Potássio,mg,210,168,"94,8",BRC1054B,Nome não encontrado
Manganês,mg,"0,11","0,08","0,05",BRC1054B,Nome não encontrado
Zinco,mg,"0,35","0,28","0,16",BRC1054B,Nome não encontrado
Cobre,mg,"0,13","0,10","0,06",BRC1054B,Nome não encontrado
Selênio,mcg,"1,22","0,98","0,55",BRC1054B,Nome não encontrado
Vitamina A (RE),mcg,"56,2","44,9","25,3",BRC1054B,Nome não encontrado
Vitamina A (RAE),mcg,"53,4","42,7","24,0",BRC1054B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1054B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,52","1,22","0,68",BRC1054B,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,02",BRC1054B,Nome não encontrado
Riboflavina,mg,"0,02","0,02","0,01",BRC1054B,Nome não encontrado
Niacina,mg,"0,14","0,12","0,06",BRC1054B,Nome não encontrado
Vitamina B6,mg,"0,06","0,04","0,03",BRC1054B,Nome não encontrado
Vitamina B12,mcg,"0,04","0,04","0,02",BRC1054B,Nome não encontrado
Vitamina C,mg,"1,71","1,37","0,77",BRC1054B,Nome não encontrado
Equivalente de folato,mcg,"7,62","6,10","3,43",BRC1054B,Nome não encontrado
Sal de adição,g,"0,47","0,38","0,21",BRC1054B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1054B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1054B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1054B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1054B,Nome não encontrado
