componente,unidade,Valor por 100g,Colher sopa cheia (15 g),Colher sopa rasa (11 g),codigo_alimento,nome_alimento
Energia,kJ,112,16,12,BRC0101T,Nome não encontrado
Energia,kcal,27,3,2,BRC0101T,Nome não encontrado
Umidade,g,"91,6","13,7","10,1",BRC0101T,Nome não encontrado
Carboidrato total,g,"5,69","0,85","0,63",BRC0101T,Nome não encontrado
Carboidrato disponível,g,"3,04","0,46","0,33",BRC0101T,Nome não encontrado
Proteína,g,"1,95","0,29","0,21",BRC0101T,Nome não encontrado
Lipídios,g,"0,16","0,02","0,02",BRC0101T,Nome não encontrado
Fibra alimentar,g,"2,65","0,40","0,29",BRC0101T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0101T,Nome não encontrado
Cinzas,g,"0,62","0,09","0,07",BRC0101T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0101T,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,00","0,00",BRC0101T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,00","0,00",BRC0101T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,01","0,01",BRC0101T,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0101T,Nome não encontrado
Cálcio,mg,"34,8","5,22","3,83",BRC0101T,Nome não encontrado
Ferro,mg,"0,46","0,07","0,05",BRC0101T,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0101T,Nome não encontrado
Magnésio,mg,"23,4","3,51","2,58",BRC0101T,Nome não encontrado
Fósforo,mg,"30,1","4,51","3,31",BRC0101T,Nome não encontrado
Potássio,mg,223,"33,5","24,6",BRC0101T,Nome não encontrado
Manganês,mg,"0,54","0,08","0,06",BRC0101T,Nome não encontrado
Zinco,mg,"0,39","0,06","0,04",BRC0101T,Nome não encontrado
Cobre,mg,"0,07","0,01","0,01",BRC0101T,Nome não encontrado
Selênio,mcg,"0,30","0,05","0,03",BRC0101T,Nome não encontrado
Vitamina A (RE),mcg,"29,1","4,37","3,20",BRC0101T,Nome não encontrado
Vitamina A (RAE),mcg,"14,6","2,18","1,60",BRC0101T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0101T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,05","0,03",BRC0101T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0101T,Nome não encontrado
Riboflavina,mg,"0,09","0,01","0,01",BRC0101T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0101T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0101T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0101T,Nome não encontrado
Vitamina C,mg,"1,24","0,19","0,14",BRC0101T,Nome não encontrado
Equivalente de folato,mcg,"31,8","4,77","3,50",BRC0101T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0101T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0101T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0101T,Nome não encontrado
Proteína vegetal,g,"1,95","0,29","0,21",BRC0101T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0101T,Nome não encontrado
