componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (350 mL),codigo_alimento,nome_alimento
Energia,kJ,200,481,330,701,BRC0032H,Nome não encontrado
Energia,kcal,47,113,77,165,BRC0032H,Nome não encontrado
Umidade,g,"88,2",211,145,308,BRC0032H,Nome não encontrado
Carboidrato total,g,"11,8","28,3","19,5","41,3",BRC0032H,Nome não encontrado
Carboidrato disponível,g,"11,8","28,3","19,5","41,3",BRC0032H,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Cinzas,g,"0,04","0,09","0,06","0,13",BRC0032H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Cálcio,mg,"2,34","5,63","3,87","8,20",BRC0032H,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,BRC0032H,Nome não encontrado
Sódio,mg,"8,96","21,5","14,8","31,4",BRC0032H,Nome não encontrado
Magnésio,mg,"1,21","2,90","1,99","4,23",BRC0032H,Nome não encontrado
Fósforo,mg,"1,47","3,52","2,42","5,13",BRC0032H,Nome não encontrado
Potássio,mg,"15,5","37,2","25,6","54,3",BRC0032H,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,BRC0032H,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,BRC0032H,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,BRC0032H,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Vitamina D,mcg,,,,,BRC0032H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,BRC0032H,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Sal de adição,g,,,,,BRC0032H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0032H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0032H,Nome não encontrado
