componente,unidade,Valor por 100g,Colher sopa rasa (20 g),codigo_alimento,nome_alimento
Energia,kJ,533,106,BRC0136K,Nome não encontrado
Energia,kcal,126,25,BRC0136K,Nome não encontrado
Umidade,g,"68,9","13,8",BRC0136K,Nome não encontrado
Carboidrato total,g,"28,9","5,78",BRC0136K,Nome não encontrado
Carboidrato disponível,g,"28,4","5,68",BRC0136K,Nome não encontrado
Proteína,g,"0,90","0,18",BRC0136K,Nome não encontrado
Lipídios,g,"0,86","0,17",BRC0136K,Nome não encontrado
Fibra alimentar,g,"0,49","0,10",BRC0136K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0136K,Nome não encontrado
Cinzas,g,"0,42","0,08",BRC0136K,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0136K,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,02",BRC0136K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,15","0,03",BRC0136K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,41","0,08",BRC0136K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0136K,Nome não encontrado
Cálcio,mg,"11,4","2,27",BRC0136K,Nome não encontrado
Ferro,mg,"0,66","0,13",BRC0136K,Nome não encontrado
Sódio,mg,"3,32","0,66",BRC0136K,Nome não encontrado
Magnésio,mg,"14,5","2,90",BRC0136K,Nome não encontrado
Fósforo,mg,"23,4","4,68",BRC0136K,Nome não encontrado
Potássio,mg,171,"34,2",BRC0136K,Nome não encontrado
Manganês,mg,"0,45","0,09",BRC0136K,Nome não encontrado
Zinco,mg,"0,19","0,04",BRC0136K,Nome não encontrado
Cobre,mg,"0,09","0,02",BRC0136K,Nome não encontrado
Selênio,mcg,"0,45","0,09",BRC0136K,Nome não encontrado
Vitamina A (RE),mcg,"43,2","8,65",BRC0136K,Nome não encontrado
Vitamina A (RAE),mcg,"21,6","4,32",BRC0136K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0136K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0136K,Nome não encontrado
Tiamina,mg,traços,traços,BRC0136K,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0136K,Nome não encontrado
Niacina,mg,traços,traços,BRC0136K,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0136K,Nome não encontrado
Vitamina B12,mcg,"0,02","0,00",BRC0136K,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0136K,Nome não encontrado
Equivalente de folato,mcg,"3,68","0,74",BRC0136K,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0136K,Nome não encontrado
Açúcar de adição,g,"20,0","4,00",BRC0136K,Nome não encontrado
Gordura de adição,g,-,-,BRC0136K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0136K,Nome não encontrado
Proteína animal,g,-,-,BRC0136K,Nome não encontrado
