componente,unidade,Valor por 100g,Colher servir cheia (80 g),codigo_alimento,nome_alimento
Energia,kJ,385,307,BRC0682B,Nome não encontrado
Energia,kcal,92,73,BRC0682B,Nome não encontrado
Umidade,g,"80,7","64,5",BRC0682B,Nome não encontrado
Carboidrato total,g,"4,78","3,82",BRC0682B,Nome não encontrado
Carboidrato disponível,g,"2,59","2,07",BRC0682B,Nome não encontrado
Proteína,g,"6,79","5,43",BRC0682B,Nome não encontrado
Lipídios,g,"5,62","4,49",BRC0682B,Nome não encontrado
Fibra alimentar,g,"2,18","1,75",BRC0682B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0682B,Nome não encontrado
Cinzas,g,"2,16","1,73",BRC0682B,Nome não encontrado
Colesterol,mg,"17,5","14,0",BRC0682B,Nome não encontrado
Ácidos graxos saturados,g,"2,51","2,01",BRC0682B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,41","1,13",BRC0682B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,84","0,67",BRC0682B,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,10",BRC0682B,Nome não encontrado
Cálcio,mg,128,102,BRC0682B,Nome não encontrado
Ferro,mg,"0,39","0,31",BRC0682B,Nome não encontrado
Sódio,mg,524,419,BRC0682B,Nome não encontrado
Magnésio,mg,"19,1","15,3",BRC0682B,Nome não encontrado
Fósforo,mg,135,108,BRC0682B,Nome não encontrado
Potássio,mg,246,196,BRC0682B,Nome não encontrado
Manganês,mg,"0,12","0,10",BRC0682B,Nome não encontrado
Zinco,mg,"0,94","0,75",BRC0682B,Nome não encontrado
Cobre,mg,"0,09","0,07",BRC0682B,Nome não encontrado
Selênio,mcg,"3,93","3,14",BRC0682B,Nome não encontrado
Vitamina A (RE),mcg,"58,0","46,4",BRC0682B,Nome não encontrado
Vitamina A (RAE),mcg,"36,6","29,3",BRC0682B,Nome não encontrado
Vitamina D,mcg,"0,08","0,06",BRC0682B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,32",BRC0682B,Nome não encontrado
Tiamina,mg,"0,13","0,10",BRC0682B,Nome não encontrado
Riboflavina,mg,"0,07","0,06",BRC0682B,Nome não encontrado
Niacina,mg,"0,58","0,46",BRC0682B,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0682B,Nome não encontrado
Vitamina B12,mcg,"0,42","0,33",BRC0682B,Nome não encontrado
Vitamina C,mg,"6,04","4,83",BRC0682B,Nome não encontrado
Equivalente de folato,mcg,"12,9","10,3",BRC0682B,Nome não encontrado
Sal de adição,g,"0,47","0,38",BRC0682B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0682B,Nome não encontrado
Gordura de adição,g,-,-,BRC0682B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0682B,Nome não encontrado
Proteína animal,g,-,-,BRC0682B,Nome não encontrado
