componente,unidade,Valor por 100g,Concha cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,494,493,BRC0916F,Nome não encontrado
Energia,kcal,118,117,BRC0916F,Nome não encontrado
Umidade,g,"74,6","74,6",BRC0916F,Nome não encontrado
Carboidrato total,g,"1,09","1,09",BRC0916F,Nome não encontrado
Carboidrato disponível,g,"1,09","1,09",BRC0916F,Nome não encontrado
Proteína,g,"18,4","18,4",BRC0916F,Nome não encontrado
Lipídios,g,"4,40","4,40",BRC0916F,Nome não encontrado
Fibra alimentar,g,,,BRC0916F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0916F,Nome não encontrado
Cinzas,g,"1,51","1,51",BRC0916F,Nome não encontrado
Colesterol,mg,313,313,BRC0916F,Nome não encontrado
Ácidos graxos saturados,g,"1,39","1,39",BRC0916F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,10","1,10",BRC0916F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,72","0,72",BRC0916F,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0916F,Nome não encontrado
Cálcio,mg,"12,3","12,3",BRC0916F,Nome não encontrado
Ferro,mg,"7,15","7,15",BRC0916F,Nome não encontrado
Sódio,mg,394,394,BRC0916F,Nome não encontrado
Magnésio,mg,"12,7","12,7",BRC0916F,Nome não encontrado
Fósforo,mg,162,162,BRC0916F,Nome não encontrado
Potássio,mg,197,197,BRC0916F,Nome não encontrado
Manganês,mg,"0,10","0,10",BRC0916F,Nome não encontrado
Zinco,mg,"1,76","1,76",BRC0916F,Nome não encontrado
Cobre,mg,"1,48","1,48",BRC0916F,Nome não encontrado
Selênio,mcg,,,BRC0916F,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0916F,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0916F,Nome não encontrado
Vitamina D,mcg,,,BRC0916F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0916F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0916F,Nome não encontrado
Riboflavina,mg,"0,11","0,11",BRC0916F,Nome não encontrado
Niacina,mg,"3,82","3,82",BRC0916F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0916F,Nome não encontrado
Vitamina B12,mcg,,,BRC0916F,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0916F,Nome não encontrado
Equivalente de folato,mcg,,,BRC0916F,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0916F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0916F,Nome não encontrado
Gordura de adição,g,-,-,BRC0916F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0916F,Nome não encontrado
Proteína animal,g,-,-,BRC0916F,Nome não encontrado
