componente,unidade,Valor por 100g,Colher sopa rasa (20 g),codigo_alimento,nome_alimento
Energia,kJ,105,21,BRC0699B,Nome não encontrado
Energia,kcal,25,5,BRC0699B,Nome não encontrado
Umidade,g,"91,9","18,4",BRC0699B,Nome não encontrado
Carboidrato total,g,"5,47","1,09",BRC0699B,Nome não encontrado
Carboidrato disponível,g,"2,13","0,43",BRC0699B,Nome não encontrado
Proteína,g,"1,77","0,35",BRC0699B,Nome não encontrado
Lipídios,g,"0,32","0,06",BRC0699B,Nome não encontrado
Fibra alimentar,g,"3,34","0,67",BRC0699B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0699B,Nome não encontrado
Cinzas,g,"0,54","0,11",BRC0699B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0699B,Nome não encontrado
Ácidos graxos saturados,g,"0,07","0,01",BRC0699B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,02",BRC0699B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,01",BRC0699B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0699B,Nome não encontrado
Cálcio,mg,"4,40","0,88",BRC0699B,Nome não encontrado
Ferro,mg,"1,06","0,21",BRC0699B,Nome não encontrado
Sódio,mg,"10,0","2,00",BRC0699B,Nome não encontrado
Magnésio,mg,"79,8","16,0",BRC0699B,Nome não encontrado
Fósforo,mg,636,127,BRC0699B,Nome não encontrado
Potássio,mg,968,193,BRC0699B,Nome não encontrado
Manganês,mg,"1,16","0,23",BRC0699B,Nome não encontrado
Zinco,mg,"5,45","1,09",BRC0699B,Nome não encontrado
Cobre,mg,"0,33","0,07",BRC0699B,Nome não encontrado
Selênio,mcg,"4,13","0,83",BRC0699B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0699B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0699B,Nome não encontrado
Vitamina D,mcg,"1,26","0,25",BRC0699B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0699B,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0699B,Nome não encontrado
Riboflavina,mg,"0,03","0,01",BRC0699B,Nome não encontrado
Niacina,mg,"1,70","0,34",BRC0699B,Nome não encontrado
Vitamina B6,mg,"0,09","0,02",BRC0699B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0699B,Nome não encontrado
Vitamina C,mg,"0,31","0,06",BRC0699B,Nome não encontrado
Equivalente de folato,mcg,"14,6","2,92",BRC0699B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0699B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0699B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0699B,Nome não encontrado
Proteína vegetal,g,"1,76","0,35",BRC0699B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0699B,Nome não encontrado
