componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (6 g),codigo_alimento,nome_alimento
Energia,kJ,1507,376,90,BRC0106F,Nome não encontrado
Energia,kcal,361,90,21,BRC0106F,Nome não encontrado
Umidade,g,"35,1","8,77","2,10",BRC0106F,Nome não encontrado
Carboidrato total,g,"1,35","0,34","0,08",BRC0106F,Nome não encontrado
Carboidrato disponível,g,"1,35","0,34","0,08",BRC0106F,Nome não encontrado
Proteína,g,"39,0","9,75","2,34",BRC0106F,Nome não encontrado
Lipídios,g,"22,2","5,55","1,33",BRC0106F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0106F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0106F,Nome não encontrado
Cinzas,g,"2,37","0,59","0,14",BRC0106F,Nome não encontrado
Colesterol,mg,369,"92,4","22,2",BRC0106F,Nome não encontrado
Ácidos graxos saturados,g,"3,45","0,86","0,21",BRC0106F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,07","0,77","0,18",BRC0106F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,51","0,88","0,21",BRC0106F,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0106F,Nome não encontrado
Cálcio,mg,"35,1","8,77","2,11",BRC0106F,Nome não encontrado
Ferro,mg,"16,7","4,17","1,00",BRC0106F,Nome não encontrado
Sódio,mg,"88,7","22,2","5,32",BRC0106F,Nome não encontrado
Magnésio,mg,"36,9","9,23","2,22",BRC0106F,Nome não encontrado
Fósforo,mg,367,"91,9","22,1",BRC0106F,Nome não encontrado
Potássio,mg,243,"60,9","14,6",BRC0106F,Nome não encontrado
Manganês,mg,,,,BRC0106F,Nome não encontrado
Zinco,mg,"13,5","3,37","0,81",BRC0106F,Nome não encontrado
Cobre,mg,,,,BRC0106F,Nome não encontrado
Selênio,mcg,,,,BRC0106F,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0106F,Nome não encontrado
Vitamina A (RAE),mcg,"12,2","3,06","0,73",BRC0106F,Nome não encontrado
Vitamina D,mcg,,,,BRC0106F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0106F,Nome não encontrado
Tiamina,mg,"0,13","0,03","0,01",BRC0106F,Nome não encontrado
Riboflavina,mg,"1,37","0,34","0,08",BRC0106F,Nome não encontrado
Niacina,mg,"5,18","1,29","0,31",BRC0106F,Nome não encontrado
Vitamina B6,mg,"0,59","0,15","0,04",BRC0106F,Nome não encontrado
Vitamina B12,mcg,,,,BRC0106F,Nome não encontrado
Vitamina C,mg,"3,32","0,83","0,20",BRC0106F,Nome não encontrado
Equivalente de folato,mcg,147,"36,9","8,87",BRC0106F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0106F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0106F,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0106F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0106F,Nome não encontrado
Proteína animal,g,"39,0","9,75","2,34",BRC0106F,Nome não encontrado
