componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Colher sopa rasa (18 g),codigo_alimento,nome_alimento
Energia,kJ,98,24,17,BRC0469B,Nome não encontrado
Energia,kcal,23,5,4,BRC0469B,Nome não encontrado
Umidade,g,"93,2","23,3","16,8",BRC0469B,Nome não encontrado
Carboidrato total,g,"5,04","1,26","0,91",BRC0469B,Nome não encontrado
Carboidrato disponível,g,"3,21","0,80","0,58",BRC0469B,Nome não encontrado
Proteína,g,"1,05","0,26","0,19",BRC0469B,Nome não encontrado
Lipídios,g,"0,31","0,08","0,06",BRC0469B,Nome não encontrado
Fibra alimentar,g,"1,83","0,46","0,33",BRC0469B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0469B,Nome não encontrado
Cinzas,g,"0,44","0,11","0,08",BRC0469B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0469B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,03","0,02",BRC0469B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00","0,00",BRC0469B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,03","0,02",BRC0469B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0469B,Nome não encontrado
Cálcio,mg,"8,72","2,18","1,57",BRC0469B,Nome não encontrado
Ferro,mg,"0,35","0,09","0,06",BRC0469B,Nome não encontrado
Sódio,mg,"0,00","0,00","0,00",BRC0469B,Nome não encontrado
Magnésio,mg,"10,4","2,60","1,87",BRC0469B,Nome não encontrado
Fósforo,mg,"16,5","4,13","2,97",BRC0469B,Nome não encontrado
Potássio,mg,155,"38,8","27,9",BRC0469B,Nome não encontrado
Manganês,mg,"0,14","0,04","0,03",BRC0469B,Nome não encontrado
Zinco,mg,"0,19","0,05","0,03",BRC0469B,Nome não encontrado
Cobre,mg,"0,08","0,02","0,01",BRC0469B,Nome não encontrado
Selênio,mcg,"0,22","0,06","0,04",BRC0469B,Nome não encontrado
Vitamina A (RE),mcg,"39,6","9,90","7,13",BRC0469B,Nome não encontrado
Vitamina A (RAE),mcg,"19,9","4,98","3,58",BRC0469B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0469B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,68","0,17","0,12",BRC0469B,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0469B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0469B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0469B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0469B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0469B,Nome não encontrado
Vitamina C,mg,"79,3","19,8","14,3",BRC0469B,Nome não encontrado
Equivalente de folato,mcg,"6,71","1,68","1,21",BRC0469B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0469B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0469B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0469B,Nome não encontrado
Proteína vegetal,g,"1,05","0,26","0,19",BRC0469B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0469B,Nome não encontrado
