componente,unidade,Valor por 100g,Colher servir cheia (95 g),Colher servir rasa (60 g),Colher sopa cheia (60 g),Colher sopa rasa (30 g),Escumadeira cheia (110 g),Escumadeira rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,113,106,67,67,33,123,90,BRC0277B,Nome não encontrado
Energia,kcal,27,25,16,16,8,29,21,BRC0277B,Nome não encontrado
Umidade,g,"90,0","85,5","54,0","54,0","27,0","99,0","72,0",BRC0277B,Nome não encontrado
Carboidrato total,g,"7,43","7,06","4,46","4,46","2,23","8,17","5,94",BRC0277B,Nome não encontrado
Carboidrato disponível,g,"1,64","1,56","0,98","0,98","0,49","1,80","1,31",BRC0277B,Nome não encontrado
Proteína,g,"1,68","1,60","1,01","1,01","0,50","1,85","1,35",BRC0277B,Nome não encontrado
Lipídios,g,"0,26","0,25","0,16","0,16","0,08","0,29","0,21",BRC0277B,Nome não encontrado
Fibra alimentar,g,"5,79","5,50","3,48","3,48","1,74","6,37","4,63",BRC0277B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0277B,Nome não encontrado
Cinzas,g,"0,67","0,63","0,40","0,40","0,20","0,73","0,53",BRC0277B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0277B,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,05","0,03","0,03","0,01","0,05","0,04",BRC0277B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,03","0,02","0,02","0,01","0,04","0,03",BRC0277B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,13","0,12","0,08","0,08","0,04","0,14","0,10",BRC0277B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0277B,Nome não encontrado
Cálcio,mg,"22,8","21,6","13,7","13,7","6,83","25,0","18,2",BRC0277B,Nome não encontrado
Ferro,mg,"0,30","0,29","0,18","0,18","0,09","0,33","0,24",BRC0277B,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,traços,traços,BRC0277B,Nome não encontrado
Magnésio,mg,"14,9","14,1","8,91","8,91","4,46","16,3","11,9",BRC0277B,Nome não encontrado
Fósforo,mg,"31,3","29,8","18,8","18,8","9,40","34,5","25,1",BRC0277B,Nome não encontrado
Potássio,mg,127,121,"76,7","76,7","38,3",140,102,BRC0277B,Nome não encontrado
Manganês,mg,"0,15","0,14","0,09","0,09","0,05","0,17","0,12",BRC0277B,Nome não encontrado
Zinco,mg,"0,13","0,12","0,08","0,08","0,04","0,14","0,10",BRC0277B,Nome não encontrado
Cobre,mg,"0,11","0,11","0,07","0,07","0,03","0,13","0,09",BRC0277B,Nome não encontrado
Selênio,mcg,"0,18","0,17","0,11","0,11","0,06","0,20","0,15",BRC0277B,Nome não encontrado
Vitamina A (RE),mcg,"14,8","14,0","8,86","8,86","4,43","16,2","11,8",BRC0277B,Nome não encontrado
Vitamina A (RAE),mcg,"7,38","7,01","4,43","4,43","2,21","8,12","5,90",BRC0277B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0277B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,42","0,26","0,26","0,13","0,48","0,35",BRC0277B,Nome não encontrado
Tiamina,mg,"0,06","0,05","0,03","0,03","0,02","0,06","0,04",BRC0277B,Nome não encontrado
Riboflavina,mg,"0,03","0,03","0,02","0,02","0,01","0,03","0,02",BRC0277B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0277B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0277B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0277B,Nome não encontrado
Vitamina C,mg,"5,30","5,03","3,18","3,18","1,59","5,83","4,24",BRC0277B,Nome não encontrado
Equivalente de folato,mcg,"14,3","13,6","8,61","8,61","4,30","15,8","11,5",BRC0277B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0277B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0277B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0277B,Nome não encontrado
Proteína vegetal,g,"1,68","1,60","1,01","1,01","0,50","1,85","1,35",BRC0277B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0277B,Nome não encontrado
