componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,777,194,BRC0043L,Nome não encontrado
Energia,kcal,188,46,BRC0043L,Nome não encontrado
Umidade,g,"73,7","18,4",BRC0043L,Nome não encontrado
Carboidrato total,g,"4,68","1,17",BRC0043L,Nome não encontrado
Carboidrato disponível,g,"4,37","1,09",BRC0043L,Nome não encontrado
Proteína,g,"4,21","1,05",BRC0043L,Nome não encontrado
Lipídios,g,"16,6","4,14",BRC0043L,Nome não encontrado
Fibra alimentar,g,"0,31","0,08",BRC0043L,Nome não encontrado
Álcool,g,"0,56","0,14",BRC0043L,Nome não encontrado
Cinzas,g,"0,90","0,23",BRC0043L,Nome não encontrado
Colesterol,mg,"37,0","9,25",BRC0043L,Nome não encontrado
Ácidos graxos saturados,g,"7,62","1,90",BRC0043L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,75","1,69",BRC0043L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,98","0,25",BRC0043L,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,02",BRC0043L,Nome não encontrado
Cálcio,mg,116,"29,1",BRC0043L,Nome não encontrado
Ferro,mg,"0,66","0,17",BRC0043L,Nome não encontrado
Sódio,mg,154,"38,5",BRC0043L,Nome não encontrado
Magnésio,mg,"10,3","2,57",BRC0043L,Nome não encontrado
Fósforo,mg,"89,4","22,3",BRC0043L,Nome não encontrado
Potássio,mg,132,"33,1",BRC0043L,Nome não encontrado
Manganês,mg,"0,06","0,02",BRC0043L,Nome não encontrado
Zinco,mg,"0,34","0,08",BRC0043L,Nome não encontrado
Cobre,mg,"0,04","0,01",BRC0043L,Nome não encontrado
Selênio,mcg,"0,66","0,17",BRC0043L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0043L,Nome não encontrado
Vitamina A (RAE),mcg,"92,5","23,1",BRC0043L,Nome não encontrado
Vitamina D,mcg,"0,31","0,08",BRC0043L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,44","0,36",BRC0043L,Nome não encontrado
Tiamina,mg,"0,02","0,01",BRC0043L,Nome não encontrado
Riboflavina,mg,"0,15","0,04",BRC0043L,Nome não encontrado
Niacina,mg,"0,33","0,08",BRC0043L,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0043L,Nome não encontrado
Vitamina B12,mcg,"0,27","0,07",BRC0043L,Nome não encontrado
Vitamina C,mg,"0,52","0,13",BRC0043L,Nome não encontrado
Equivalente de folato,mcg,"6,99","1,75",BRC0043L,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0043L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0043L,Nome não encontrado
Gordura de adição,g,-,-,BRC0043L,Nome não encontrado
Proteína vegetal,g,-,-,BRC0043L,Nome não encontrado
Proteína animal,g,-,-,BRC0043L,Nome não encontrado
