componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,295,590,BRC0064H,Nome não encontrado
Energia,kcal,70,139,BRC0064H,Nome não encontrado
Umidade,g,"82,5",164,BRC0064H,Nome não encontrado
Carboidrato total,g,"13,0","26,0",BRC0064H,Nome não encontrado
Carboidrato disponível,g,"13,0","26,0",BRC0064H,Nome não encontrado
Proteína,g,"3,04","6,08",BRC0064H,Nome não encontrado
Lipídios,g,"0,62","1,23",BRC0064H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0064H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0064H,Nome não encontrado
Cinzas,g,"0,86","1,73",BRC0064H,Nome não encontrado
Colesterol,mg,"2,63","5,26",BRC0064H,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,42",BRC0064H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,13","0,25",BRC0064H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02",BRC0064H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0064H,Nome não encontrado
Cálcio,mg,107,215,BRC0064H,Nome não encontrado
Ferro,mg,"1,42","2,83",BRC0064H,Nome não encontrado
Sódio,mg,"38,4","76,7",BRC0064H,Nome não encontrado
Magnésio,mg,"60,1",120,BRC0064H,Nome não encontrado
Fósforo,mg,136,273,BRC0064H,Nome não encontrado
Potássio,mg,285,570,BRC0064H,Nome não encontrado
Manganês,mg,"0,01","0,02",BRC0064H,Nome não encontrado
Zinco,mg,"0,96","1,93",BRC0064H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0064H,Nome não encontrado
Selênio,mcg,,,BRC0064H,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0064H,Nome não encontrado
Vitamina A (RAE),mcg,"6,30","12,6",BRC0064H,Nome não encontrado
Vitamina D,mcg,"0,82","1,64",BRC0064H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,08",BRC0064H,Nome não encontrado
Tiamina,mg,"0,04","0,08",BRC0064H,Nome não encontrado
Riboflavina,mg,"0,23","0,45",BRC0064H,Nome não encontrado
Niacina,mg,"1,31","2,62",BRC0064H,Nome não encontrado
Vitamina B6,mg,"0,01","0,02",BRC0064H,Nome não encontrado
Vitamina B12,mcg,"0,38","0,77",BRC0064H,Nome não encontrado
Vitamina C,mg,traços,,BRC0064H,Nome não encontrado
Equivalente de folato,mcg,"7,51","15,0",BRC0064H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0064H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0064H,Nome não encontrado
Gordura de adição,g,-,-,BRC0064H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0064H,Nome não encontrado
Proteína animal,g,-,-,BRC0064H,Nome não encontrado
