componente,unidade,Valor por 100g,Colher servir cheia (50 g),codigo_alimento,nome_alimento
Energia,kJ,856,428,BRC0834B,Nome não encontrado
Energia,kcal,207,103,BRC0834B,Nome não encontrado
Umidade,g,"69,4","34,7",BRC0834B,Nome não encontrado
Carboidrato total,g,"10,3","5,15",BRC0834B,Nome não encontrado
Carboidrato disponível,g,"8,49","4,25",BRC0834B,Nome não encontrado
Proteína,g,"1,23","0,62",BRC0834B,Nome não encontrado
Lipídios,g,"18,3","9,15",BRC0834B,Nome não encontrado
Fibra alimentar,g,"1,79","0,90",BRC0834B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0834B,Nome não encontrado
Cinzas,g,"0,76","0,38",BRC0834B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0834B,Nome não encontrado
Ácidos graxos saturados,g,"2,74","1,37",BRC0834B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"11,5","5,74",BRC0834B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,85","1,93",BRC0834B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0834B,Nome não encontrado
Cálcio,mg,"13,2","6,60",BRC0834B,Nome não encontrado
Ferro,mg,"0,48","0,24",BRC0834B,Nome não encontrado
Sódio,mg,130,"65,0",BRC0834B,Nome não encontrado
Magnésio,mg,"10,4","5,20",BRC0834B,Nome não encontrado
Fósforo,mg,"28,7","14,4",BRC0834B,Nome não encontrado
Potássio,mg,162,"81,0",BRC0834B,Nome não encontrado
Manganês,mg,"0,15","0,08",BRC0834B,Nome não encontrado
Zinco,mg,"0,21","0,11",BRC0834B,Nome não encontrado
Cobre,mg,"0,06","0,03",BRC0834B,Nome não encontrado
Selênio,mcg,"0,20","0,10",BRC0834B,Nome não encontrado
Vitamina A (RE),mcg,"23,4","11,7",BRC0834B,Nome não encontrado
Vitamina A (RAE),mcg,"11,7","5,85",BRC0834B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0834B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,48","0,74",BRC0834B,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0834B,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0834B,Nome não encontrado
Niacina,mg,"0,04","0,02",BRC0834B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02",BRC0834B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0834B,Nome não encontrado
Vitamina C,mg,"34,3","17,1",BRC0834B,Nome não encontrado
Equivalente de folato,mcg,"9,78","4,89",BRC0834B,Nome não encontrado
Sal de adição,g,"0,32","0,16",BRC0834B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0834B,Nome não encontrado
Gordura de adição,g,-,-,BRC0834B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0834B,Nome não encontrado
Proteína animal,g,-,-,BRC0834B,Nome não encontrado
