componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,1044,1043,BRC0480E,Nome não encontrado
Energia,kcal,251,250,BRC0480E,Nome não encontrado
Umidade,g,"57,3","57,3",BRC0480E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0480E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0480E,Nome não encontrado
Proteína,g,"24,0","24,0",BRC0480E,Nome não encontrado
Lipídios,g,"17,2","17,2",BRC0480E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0480E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0480E,Nome não encontrado
Cinzas,g,"1,49","1,49",BRC0480E,Nome não encontrado
Colesterol,mg,"84,6","84,6",BRC0480E,Nome não encontrado
Ácidos graxos saturados,g,"3,45","3,45",BRC0480E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,23","4,23",BRC0480E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"9,67","9,67",BRC0480E,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,09",BRC0480E,Nome não encontrado
Cálcio,mg,"23,1","23,1",BRC0480E,Nome não encontrado
Ferro,mg,"0,33","0,33",BRC0480E,Nome não encontrado
Sódio,mg,"71,8","71,8",BRC0480E,Nome não encontrado
Magnésio,mg,"32,6","32,6",BRC0480E,Nome não encontrado
Fósforo,mg,201,201,BRC0480E,Nome não encontrado
Potássio,mg,406,406,BRC0480E,Nome não encontrado
Manganês,mg,"0,02","0,02",BRC0480E,Nome não encontrado
Zinco,mg,"0,59","0,59",BRC0480E,Nome não encontrado
Cobre,mg,"0,18","0,18",BRC0480E,Nome não encontrado
Selênio,mcg,"31,1","31,1",BRC0480E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0480E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0480E,Nome não encontrado
Vitamina D,mcg,"1,41","1,41",BRC0480E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,84","0,84",BRC0480E,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0480E,Nome não encontrado
Riboflavina,mg,"0,06","0,06",BRC0480E,Nome não encontrado
Niacina,mg,"1,14","1,14",BRC0480E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0480E,Nome não encontrado
Vitamina B12,mcg,"4,53","4,53",BRC0480E,Nome não encontrado
Vitamina C,mg,"0,82","0,82",BRC0480E,Nome não encontrado
Equivalente de folato,mcg,"14,5","14,5",BRC0480E,Nome não encontrado
Sal de adição,g,"0,50","0,50",BRC0480E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0480E,Nome não encontrado
Gordura de adição,g,-,-,BRC0480E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0480E,Nome não encontrado
Proteína animal,g,-,-,BRC0480E,Nome não encontrado
