componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (31 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,453,158,140,634,362,BRC0085T,Nome não encontrado
Energia,kcal,108,37,33,151,86,BRC0085T,Nome não encontrado
Umidade,g,"68,2","23,9","21,1","95,5","54,6",BRC0085T,Nome não encontrado
Carboidrato total,g,"20,5","7,16","6,34","28,6","16,4",BRC0085T,Nome não encontrado
Carboidrato disponível,g,"13,0","4,56","4,04","18,3","10,4",BRC0085T,Nome não encontrado
Proteína,g,"9,05","3,17","2,81","12,7","7,24",BRC0085T,Nome não encontrado
Lipídios,g,"0,49","0,17","0,15","0,69","0,39",BRC0085T,Nome não encontrado
Fibra alimentar,g,"7,42","2,60","2,30","10,4","5,94",BRC0085T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0085T,Nome não encontrado
Cinzas,g,"1,80","0,63","0,56","2,52","1,44",BRC0085T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0085T,Nome não encontrado
Ácidos graxos saturados,g,"0,07","0,02","0,02","0,10","0,06",BRC0085T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,04","0,03","0,14","0,08",BRC0085T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,19","0,07","0,06","0,27","0,15",BRC0085T,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0085T,Nome não encontrado
Cálcio,mg,"29,2","10,2","9,04","40,8","23,3",BRC0085T,Nome não encontrado
Ferro,mg,"1,60","0,56","0,50","2,24","1,28",BRC0085T,Nome não encontrado
Sódio,mg,194,"68,0","60,2",272,155,BRC0085T,Nome não encontrado
Magnésio,mg,"41,0","14,4","12,7","57,4","32,8",BRC0085T,Nome não encontrado
Fósforo,mg,138,"48,3","42,8",193,110,BRC0085T,Nome não encontrado
Potássio,mg,319,111,"98,9",446,255,BRC0085T,Nome não encontrado
Manganês,mg,"0,53","0,19","0,16","0,74","0,42",BRC0085T,Nome não encontrado
Zinco,mg,"1,14","0,40","0,35","1,60","0,91",BRC0085T,Nome não encontrado
Cobre,mg,"0,21","0,07","0,07","0,29","0,17",BRC0085T,Nome não encontrado
Selênio,mcg,,,,,,BRC0085T,Nome não encontrado
Vitamina A (RE),mcg,"1,70","0,60","0,53","2,38","1,36",BRC0085T,Nome não encontrado
Vitamina A (RAE),mcg,"0,85","0,30","0,26","1,19","0,68",BRC0085T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0085T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,00","0,00","0,01","0,01",BRC0085T,Nome não encontrado
Tiamina,mg,"0,13","0,05","0,04","0,18","0,10",BRC0085T,Nome não encontrado
Riboflavina,mg,"0,06","0,02","0,02","0,08","0,05",BRC0085T,Nome não encontrado
Niacina,mg,"0,56","0,20","0,17","0,78","0,45",BRC0085T,Nome não encontrado
Vitamina B6,mg,"0,08","0,03","0,02","0,11","0,06",BRC0085T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0085T,Nome não encontrado
Vitamina C,mg,"0,30","0,11","0,09","0,42","0,24",BRC0085T,Nome não encontrado
Equivalente de folato,mcg,"45,0","15,8","14,0","63,0","36,0",BRC0085T,Nome não encontrado
Sal de adição,g,"0,47","0,16","0,15","0,66","0,38",BRC0085T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0085T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0085T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0085T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0085T,Nome não encontrado
