componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,348,BRC1091B,Nome não encontrado
Energia,kcal,83,BRC1091B,Nome não encontrado
Umidade,g,"82,4",BRC1091B,Nome não encontrado
Carboidrato total,g,"7,20",BRC1091B,Nome não encontrado
Carboidrato disponível,g,"6,05",BRC1091B,Nome não encontrado
Proteína,g,"6,24",BRC1091B,Nome não encontrado
Lipídios,g,"3,50",BRC1091B,Nome não encontrado
Fibra alimentar,g,"1,15",BRC1091B,Nome não encontrado
Álcool,g,"0,00",BRC1091B,Nome não encontrado
Cinzas,g,"0,65",BRC1091B,Nome não encontrado
Colesterol,mg,"19,2",BRC1091B,Nome não encontrado
Ácidos graxos saturados,g,"1,54",BRC1091B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,94",BRC1091B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,66",BRC1091B,Nome não encontrado
Ácidos graxos trans,g,"0,06",BRC1091B,Nome não encontrado
Cálcio,mg,"33,3",BRC1091B,Nome não encontrado
Ferro,mg,"0,35",BRC1091B,Nome não encontrado
Sódio,mg,"20,4",BRC1091B,Nome não encontrado
Magnésio,mg,"9,55",BRC1091B,Nome não encontrado
Fósforo,mg,"69,7",BRC1091B,Nome não encontrado
Potássio,mg,162,BRC1091B,Nome não encontrado
Manganês,mg,"0,16",BRC1091B,Nome não encontrado
Zinco,mg,"0,38",BRC1091B,Nome não encontrado
Cobre,mg,"0,05",BRC1091B,Nome não encontrado
Selênio,mcg,"3,37",BRC1091B,Nome não encontrado
Vitamina A (RE),mcg,273,BRC1091B,Nome não encontrado
Vitamina A (RAE),mcg,149,BRC1091B,Nome não encontrado
Vitamina D,mcg,"0,26",BRC1091B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,13",BRC1091B,Nome não encontrado
Tiamina,mg,"0,06",BRC1091B,Nome não encontrado
Riboflavina,mg,"0,05",BRC1091B,Nome não encontrado
Niacina,mg,"1,52",BRC1091B,Nome não encontrado
Vitamina B6,mg,"0,04",BRC1091B,Nome não encontrado
Vitamina B12,mcg,"0,10",BRC1091B,Nome não encontrado
Vitamina C,mg,"3,50",BRC1091B,Nome não encontrado
Equivalente de folato,mcg,"6,53",BRC1091B,Nome não encontrado
Sal de adição,g,"0,00",BRC1091B,Nome não encontrado
Açúcar de adição,g,"0,00",BRC1091B,Nome não encontrado
Gordura de adição,g,-,BRC1091B,Nome não encontrado
Proteína vegetal,g,-,BRC1091B,Nome não encontrado
Proteína animal,g,-,BRC1091B,Nome não encontrado
