componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,675,404,BRC0656A,Nome não encontrado
Energia,kcal,161,96,BRC0656A,Nome não encontrado
Umidade,g,"67,2","40,3",BRC0656A,Nome não encontrado
Carboidrato total,g,"8,05","4,83",BRC0656A,Nome não encontrado
Carboidrato disponível,g,"7,74","4,64",BRC0656A,Nome não encontrado
Proteína,g,"13,1","7,83",BRC0656A,Nome não encontrado
Lipídios,g,"8,60","5,16",BRC0656A,Nome não encontrado
Fibra alimentar,g,"0,31","0,19",BRC0656A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0656A,Nome não encontrado
Cinzas,g,"3,07","1,84",BRC0656A,Nome não encontrado
Colesterol,mg,"85,2","51,1",BRC0656A,Nome não encontrado
Ácidos graxos saturados,g,"4,02","2,41",BRC0656A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,39","1,43",BRC0656A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,30","0,78",BRC0656A,Nome não encontrado
Ácidos graxos trans,g,"0,51","0,30",BRC0656A,Nome não encontrado
Cálcio,mg,106,"63,7",BRC0656A,Nome não encontrado
Ferro,mg,"0,51","0,31",BRC0656A,Nome não encontrado
Sódio,mg,737,442,BRC0656A,Nome não encontrado
Magnésio,mg,"14,8","8,85",BRC0656A,Nome não encontrado
Fósforo,mg,"97,6","58,6",BRC0656A,Nome não encontrado
Potássio,mg,118,"71,4",BRC0656A,Nome não encontrado
Manganês,mg,"0,06","0,04",BRC0656A,Nome não encontrado
Zinco,mg,"0,65","0,39",BRC0656A,Nome não encontrado
Cobre,mg,"0,05","0,03",BRC0656A,Nome não encontrado
Selênio,mcg,"5,17","3,10",BRC0656A,Nome não encontrado
Vitamina A (RE),mcg,"76,4","45,8",BRC0656A,Nome não encontrado
Vitamina A (RAE),mcg,"74,0","44,4",BRC0656A,Nome não encontrado
Vitamina D,mcg,"2,62","1,57",BRC0656A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,76","1,06",BRC0656A,Nome não encontrado
Tiamina,mg,"0,05","0,03",BRC0656A,Nome não encontrado
Riboflavina,mg,"0,16","0,09",BRC0656A,Nome não encontrado
Niacina,mg,"4,68","2,81",BRC0656A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0656A,Nome não encontrado
Vitamina B12,mcg,"0,82","0,49",BRC0656A,Nome não encontrado
Vitamina C,mg,"0,89","0,53",BRC0656A,Nome não encontrado
Equivalente de folato,mcg,"11,9","7,11",BRC0656A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0656A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0656A,Nome não encontrado
Gordura de adição,g,-,-,BRC0656A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0656A,Nome não encontrado
Proteína animal,g,-,-,BRC0656A,Nome não encontrado
