componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,342,BRC0293C,Nome não encontrado
Energia,kcal,82,BRC0293C,Nome não encontrado
Umidade,g,"79,1",BRC0293C,Nome não encontrado
Carboidrato total,g,"17,4",BRC0293C,Nome não encontrado
Carboidrato disponível,g,"12,9",BRC0293C,Nome não encontrado
Proteína,g,"1,22",BRC0293C,Nome não encontrado
Lipídios,g,"1,80",BRC0293C,Nome não encontrado
Fibra alimentar,g,"4,51",BRC0293C,Nome não encontrado
Álcool,g,"0,00",BRC0293C,Nome não encontrado
Cinzas,g,"0,47",BRC0293C,Nome não encontrado
Colesterol,mg,"0,00",BRC0293C,Nome não encontrado
Ácidos graxos saturados,g,"0,50",BRC0293C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,36",BRC0293C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30",BRC0293C,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC0293C,Nome não encontrado
Cálcio,mg,"12,3",BRC0293C,Nome não encontrado
Ferro,mg,"0,52",BRC0293C,Nome não encontrado
Sódio,mg,"78,0",BRC0293C,Nome não encontrado
Magnésio,mg,"13,4",BRC0293C,Nome não encontrado
Fósforo,mg,"0,00",BRC0293C,Nome não encontrado
Potássio,mg,114,BRC0293C,Nome não encontrado
Manganês,mg,"0,05",BRC0293C,Nome não encontrado
Zinco,mg,"0,12",BRC0293C,Nome não encontrado
Cobre,mg,"0,43",BRC0293C,Nome não encontrado
Selênio,mcg,,BRC0293C,Nome não encontrado
Vitamina A (RE),mcg,,BRC0293C,Nome não encontrado
Vitamina A (RAE),mcg,,BRC0293C,Nome não encontrado
Vitamina D,mcg,,BRC0293C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,BRC0293C,Nome não encontrado
Tiamina,mg,"0,15",BRC0293C,Nome não encontrado
Riboflavina,mg,"0,08",BRC0293C,Nome não encontrado
Niacina,mg,traços,BRC0293C,Nome não encontrado
Vitamina B6,mg,"0,07",BRC0293C,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0293C,Nome não encontrado
Vitamina C,mg,"23,2",BRC0293C,Nome não encontrado
Equivalente de folato,mcg,"14,1",BRC0293C,Nome não encontrado
Sal de adição,g,"0,00",BRC0293C,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0293C,Nome não encontrado
Gordura de adição,g,"0,00",BRC0293C,Nome não encontrado
Proteína vegetal,g,"1,22",BRC0293C,Nome não encontrado
Proteína animal,g,"0,00",BRC0293C,Nome não encontrado
