componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,508,660,BRC0809B,Nome não encontrado
Energia,kcal,122,157,BRC0809B,Nome não encontrado
Umidade,g,"75,8","98,6",BRC0809B,Nome não encontrado
Carboidrato total,g,"14,2","18,5",BRC0809B,Nome não encontrado
Carboidrato disponível,g,"13,4","17,4",BRC0809B,Nome não encontrado
Proteína,g,"2,58","3,35",BRC0809B,Nome não encontrado
Lipídios,g,"6,21","8,08",BRC0809B,Nome não encontrado
Fibra alimentar,g,"0,86","1,11",BRC0809B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0809B,Nome não encontrado
Cinzas,g,"1,12","1,45",BRC0809B,Nome não encontrado
Colesterol,mg,"18,5","24,1",BRC0809B,Nome não encontrado
Ácidos graxos saturados,g,"3,76","4,89",BRC0809B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,67","2,17",BRC0809B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,21",BRC0809B,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,18",BRC0809B,Nome não encontrado
Cálcio,mg,"89,5",116,BRC0809B,Nome não encontrado
Ferro,mg,"0,21","0,27",BRC0809B,Nome não encontrado
Sódio,mg,235,306,BRC0809B,Nome não encontrado
Magnésio,mg,"12,6","16,4",BRC0809B,Nome não encontrado
Fósforo,mg,"70,2","91,3",BRC0809B,Nome não encontrado
Potássio,mg,152,198,BRC0809B,Nome não encontrado
Manganês,mg,"0,18","0,24",BRC0809B,Nome não encontrado
Zinco,mg,"0,35","0,45",BRC0809B,Nome não encontrado
Cobre,mg,"0,03","0,04",BRC0809B,Nome não encontrado
Selênio,mcg,"3,77","4,90",BRC0809B,Nome não encontrado
Vitamina A (RE),mcg,"82,3",107,BRC0809B,Nome não encontrado
Vitamina A (RAE),mcg,"81,1",105,BRC0809B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0809B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,11","0,15",BRC0809B,Nome não encontrado
Tiamina,mg,"0,05","0,06",BRC0809B,Nome não encontrado
Riboflavina,mg,"0,17","0,22",BRC0809B,Nome não encontrado
Niacina,mg,"1,09","1,41",BRC0809B,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0809B,Nome não encontrado
Vitamina B12,mcg,"0,27","0,35",BRC0809B,Nome não encontrado
Vitamina C,mg,"0,41","0,54",BRC0809B,Nome não encontrado
Equivalente de folato,mcg,"9,71","12,6",BRC0809B,Nome não encontrado
Sal de adição,g,"0,47","0,61",BRC0809B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0809B,Nome não encontrado
Gordura de adição,g,-,-,BRC0809B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0809B,Nome não encontrado
Proteína animal,g,-,-,BRC0809B,Nome não encontrado
