componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,24,31,BRC0730B,Nome não encontrado
Energia,kcal,6,7,BRC0730B,Nome não encontrado
Umidade,g,"98,3",127,BRC0730B,Nome não encontrado
Carboidrato total,g,"1,30","1,69",BRC0730B,Nome não encontrado
Carboidrato disponível,g,"0,99","1,28",BRC0730B,Nome não encontrado
Proteína,g,"0,22","0,28",BRC0730B,Nome não encontrado
Lipídios,g,"0,03","0,04",BRC0730B,Nome não encontrado
Fibra alimentar,g,"0,32","0,41",BRC0730B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0730B,Nome não encontrado
Cinzas,g,"0,14","0,18",BRC0730B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0730B,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01",BRC0730B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0730B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02",BRC0730B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0730B,Nome não encontrado
Cálcio,mg,"6,55","8,51",BRC0730B,Nome não encontrado
Ferro,mg,"0,09","0,12",BRC0730B,Nome não encontrado
Sódio,mg,"1,15","1,50",BRC0730B,Nome não encontrado
Magnésio,mg,"1,91","2,48",BRC0730B,Nome não encontrado
Fósforo,mg,"5,92","7,69",BRC0730B,Nome não encontrado
Potássio,mg,"36,5","47,4",BRC0730B,Nome não encontrado
Manganês,mg,"0,03","0,03",BRC0730B,Nome não encontrado
Zinco,mg,"0,03","0,04",BRC0730B,Nome não encontrado
Cobre,mg,"0,03","0,03",BRC0730B,Nome não encontrado
Selênio,mcg,"0,09","0,12",BRC0730B,Nome não encontrado
Vitamina A (RE),mcg,"93,9",122,BRC0730B,Nome não encontrado
Vitamina A (RAE),mcg,"48,2","62,6",BRC0730B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0730B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,13",BRC0730B,Nome não encontrado
Tiamina,mg,traços,traços,BRC0730B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0730B,Nome não encontrado
Niacina,mg,"0,11","0,14",BRC0730B,Nome não encontrado
Vitamina B6,mg,"0,02","0,03",BRC0730B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0730B,Nome não encontrado
Vitamina C,mg,"0,62","0,80",BRC0730B,Nome não encontrado
Equivalente de folato,mcg,"3,23","4,20",BRC0730B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0730B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0730B,Nome não encontrado
Gordura de adição,g,-,-,BRC0730B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0730B,Nome não encontrado
Proteína animal,g,-,-,BRC0730B,Nome não encontrado
