componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,558,139,BRC0036L,Nome não encontrado
Energia,kcal,135,33,BRC0036L,Nome não encontrado
Umidade,g,"78,4","19,6",BRC0036L,Nome não encontrado
Carboidrato total,g,"6,13","1,53",BRC0036L,Nome não encontrado
Carboidrato disponível,g,"5,45","1,36",BRC0036L,Nome não encontrado
Proteína,g,"0,48","0,12",BRC0036L,Nome não encontrado
Lipídios,g,"12,4","3,10",BRC0036L,Nome não encontrado
Fibra alimentar,g,"0,67","0,17",BRC0036L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0036L,Nome não encontrado
Cinzas,g,"2,60","0,65",BRC0036L,Nome não encontrado
Colesterol,mg,"17,0","4,25",BRC0036L,Nome não encontrado
Ácidos graxos saturados,g,"1,67","0,42",BRC0036L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,57","0,64",BRC0036L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,21","1,55",BRC0036L,Nome não encontrado
Ácidos graxos trans,g,"0,07","0,02",BRC0036L,Nome não encontrado
Cálcio,mg,"7,28","1,82",BRC0036L,Nome não encontrado
Ferro,mg,"0,29","0,07",BRC0036L,Nome não encontrado
Sódio,mg,914,228,BRC0036L,Nome não encontrado
Magnésio,mg,"4,47","1,12",BRC0036L,Nome não encontrado
Fósforo,mg,"15,5","3,86",BRC0036L,Nome não encontrado
Potássio,mg,"49,6","12,4",BRC0036L,Nome não encontrado
Manganês,mg,"0,03","0,01",BRC0036L,Nome não encontrado
Zinco,mg,"0,10","0,03",BRC0036L,Nome não encontrado
Cobre,mg,"0,05","0,01",BRC0036L,Nome não encontrado
Selênio,mcg,"0,03","0,01",BRC0036L,Nome não encontrado
Vitamina A (RE),mcg,"13,9","3,47",BRC0036L,Nome não encontrado
Vitamina A (RAE),mcg,"13,0","3,26",BRC0036L,Nome não encontrado
Vitamina D,mcg,"0,03","0,01",BRC0036L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,06","0,26",BRC0036L,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0036L,Nome não encontrado
Riboflavina,mg,"0,08","0,02",BRC0036L,Nome não encontrado
Niacina,mg,"0,07","0,02",BRC0036L,Nome não encontrado
Vitamina B6,mg,"0,02","0,00",BRC0036L,Nome não encontrado
Vitamina B12,mcg,"0,02","0,01",BRC0036L,Nome não encontrado
Vitamina C,mg,"2,34","0,59",BRC0036L,Nome não encontrado
Equivalente de folato,mcg,"3,73","0,93",BRC0036L,Nome não encontrado
Sal de adição,g,"0,32","0,08",BRC0036L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0036L,Nome não encontrado
Gordura de adição,g,-,-,BRC0036L,Nome não encontrado
Proteína vegetal,g,-,-,BRC0036L,Nome não encontrado
Proteína animal,g,-,-,BRC0036L,Nome não encontrado
