componente,unidade,Valor por 100g,Colher servir cheia (10 g),Colher sopa cheia (6 g),codigo_alimento,nome_alimento
Energia,kJ,97,9,5,BRC0007B,Nome não encontrado
Energia,kcal,23,2,1,BRC0007B,Nome não encontrado
Umidade,g,"93,2","9,32","5,59",BRC0007B,Nome não encontrado
Carboidrato total,g,"4,63","0,46","0,28",BRC0007B,Nome não encontrado
Carboidrato disponível,g,"3,51","0,35","0,21",BRC0007B,Nome não encontrado
Proteína,g,"1,44","0,14","0,09",BRC0007B,Nome não encontrado
Lipídios,g,"0,11","0,01","0,01",BRC0007B,Nome não encontrado
Fibra alimentar,g,"1,12","0,11","0,07",BRC0007B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0007B,Nome não encontrado
Cinzas,g,"0,63","0,06","0,04",BRC0007B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0007B,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,00","0,00",BRC0007B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,00","0,00",BRC0007B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,00","0,00",BRC0007B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0007B,Nome não encontrado
Cálcio,mg,"43,0","4,30","2,58",BRC0007B,Nome não encontrado
Ferro,mg,"0,27","0,03","0,02",BRC0007B,Nome não encontrado
Sódio,mg,"1,18","0,12","0,07",BRC0007B,Nome não encontrado
Magnésio,mg,"10,4","1,04","0,62",BRC0007B,Nome não encontrado
Fósforo,mg,"40,0","4,00","2,40",BRC0007B,Nome não encontrado
Potássio,mg,239,"24,0","14,4",BRC0007B,Nome não encontrado
Manganês,mg,"0,11","0,01","0,01",BRC0007B,Nome não encontrado
Zinco,mg,"0,31","0,03","0,02",BRC0007B,Nome não encontrado
Cobre,mg,"0,10","0,01","0,01",BRC0007B,Nome não encontrado
Selênio,mcg,"0,84","0,08","0,05",BRC0007B,Nome não encontrado
Vitamina A (RE),mcg,324,"32,4","19,4",BRC0007B,Nome não encontrado
Vitamina A (RAE),mcg,162,"16,2","9,72",BRC0007B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0007B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,00","0,10","0,06",BRC0007B,Nome não encontrado
Tiamina,mg,"0,04","0,00","0,00",BRC0007B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0007B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0007B,Nome não encontrado
Vitamina B6,mg,"0,16","0,02","0,01",BRC0007B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0007B,Nome não encontrado
Vitamina C,mg,"22,6","2,26","1,35",BRC0007B,Nome não encontrado
Equivalente de folato,mcg,"7,42","0,74","0,45",BRC0007B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0007B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0007B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0007B,Nome não encontrado
Proteína vegetal,g,"1,44","0,14","0,09",BRC0007B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0007B,Nome não encontrado
