componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,330,791,544,659,BRC0109T,Nome não encontrado
Energia,kcal,78,187,128,156,BRC0109T,Nome não encontrado
Umidade,g,"81,9",196,135,163,BRC0109T,Nome não encontrado
Carboidrato total,g,"12,3","29,5","20,3","24,6",BRC0109T,Nome não encontrado
Carboidrato disponível,g,"12,1","29,1","20,0","24,3",BRC0109T,Nome não encontrado
Proteína,g,"3,28","7,86","5,40","6,55",BRC0109T,Nome não encontrado
Lipídios,g,"1,80","4,31","2,96","3,59",BRC0109T,Nome não encontrado
Fibra alimentar,g,"0,17","0,40","0,27","0,33",BRC0109T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0109T,Nome não encontrado
Cinzas,g,"0,68","1,63","1,12","1,36",BRC0109T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0109T,Nome não encontrado
Ácidos graxos saturados,g,"0,39","0,93","0,64","0,77",BRC0109T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,39","0,93","0,64","0,77",BRC0109T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,55","1,32","0,91","1,10",BRC0109T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02","0,01","0,02",BRC0109T,Nome não encontrado
Cálcio,mg,"27,9","67,1","46,1","55,9",BRC0109T,Nome não encontrado
Ferro,mg,"1,81","4,33","2,98","3,61",BRC0109T,Nome não encontrado
Sódio,mg,"53,0",127,"87,5",106,BRC0109T,Nome não encontrado
Magnésio,mg,"64,9",155,107,129,BRC0109T,Nome não encontrado
Fósforo,mg,122,294,202,245,BRC0109T,Nome não encontrado
Potássio,mg,264,635,436,529,BRC0109T,Nome não encontrado
Manganês,mg,"0,13","0,32","0,22","0,26",BRC0109T,Nome não encontrado
Zinco,mg,"0,95","2,27","1,56","1,89",BRC0109T,Nome não encontrado
Cobre,mg,"0,08","0,18","0,12","0,15",BRC0109T,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0109T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0109T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0109T,Nome não encontrado
Vitamina D,mcg,"0,82","1,96","1,35","1,64",BRC0109T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,01","0,00","0,01",BRC0109T,Nome não encontrado
Tiamina,mg,"0,01","0,02","0,01","0,02",BRC0109T,Nome não encontrado
Riboflavina,mg,"0,03","0,06","0,04","0,05",BRC0109T,Nome não encontrado
Niacina,mg,"0,22","0,54","0,37","0,45",BRC0109T,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0109T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0109T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0109T,Nome não encontrado
Equivalente de folato,mcg,"78,4",188,129,156,BRC0109T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0109T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0109T,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0109T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0109T,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0109T,Nome não encontrado
