componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,280,671,461,BRC0028G,Nome não encontrado
Energia,kcal,67,161,110,BRC0028G,Nome não encontrado
Umidade,g,"87,9",211,145,BRC0028G,Nome não encontrado
Carboidrato total,g,"3,52","8,46","5,81",BRC0028G,Nome não encontrado
Carboidrato disponível,g,"3,52","8,46","5,81",BRC0028G,Nome não encontrado
Proteína,g,"3,33","7,98","5,49",BRC0028G,Nome não encontrado
Lipídios,g,"4,42","10,6","7,29",BRC0028G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0028G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0028G,Nome não encontrado
Cinzas,g,"0,81","1,94","1,33",BRC0028G,Nome não encontrado
Colesterol,mg,"16,5","39,5","27,2",BRC0028G,Nome não encontrado
Ácidos graxos saturados,g,"2,83","6,78","4,66",BRC0028G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,94","2,26","1,55",BRC0028G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,28","0,19",BRC0028G,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,34","0,23",BRC0028G,Nome não encontrado
Cálcio,mg,115,276,189,BRC0028G,Nome não encontrado
Ferro,mg,"0,10","0,23","0,16",BRC0028G,Nome não encontrado
Sódio,mg,"69,1",165,113,BRC0028G,Nome não encontrado
Magnésio,mg,"13,2","31,8","21,9",BRC0028G,Nome não encontrado
Fósforo,mg,105,253,174,BRC0028G,Nome não encontrado
Potássio,mg,130,313,215,BRC0028G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0028G,Nome não encontrado
Zinco,mg,"0,33","0,79","0,55",BRC0028G,Nome não encontrado
Cobre,mg,"0,04","0,09","0,06",BRC0028G,Nome não encontrado
Selênio,mcg,"1,30","3,13","2,15",BRC0028G,Nome não encontrado
Vitamina A (RE),mcg,"42,1",101,"69,5",BRC0028G,Nome não encontrado
Vitamina A (RAE),mcg,"41,5","99,6","68,5",BRC0028G,Nome não encontrado
Vitamina D,mcg,"0,07","0,16","0,11",BRC0028G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,18","0,12",BRC0028G,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0028G,Nome não encontrado
Riboflavina,mg,"0,14","0,32","0,22",BRC0028G,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0028G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0028G,Nome não encontrado
Vitamina B12,mcg,"0,07","0,16","0,11",BRC0028G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0028G,Nome não encontrado
Equivalente de folato,mcg,"0,93","2,23","1,54",BRC0028G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0028G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0028G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0028G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0028G,Nome não encontrado
Proteína animal,g,"3,33","7,98","5,49",BRC0028G,Nome não encontrado
