componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,323,193,BRC0116T,Nome não encontrado
Energia,kcal,76,45,BRC0116T,Nome não encontrado
Umidade,g,"78,6","47,2",BRC0116T,Nome não encontrado
Carboidrato total,g,"14,6","8,78",BRC0116T,Nome não encontrado
Carboidrato disponível,g,"10,7","6,42",BRC0116T,Nome não encontrado
Proteína,g,"5,63","3,38",BRC0116T,Nome não encontrado
Lipídios,g,"0,37","0,22",BRC0116T,Nome não encontrado
Fibra alimentar,g,"3,92","2,35",BRC0116T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0116T,Nome não encontrado
Cinzas,g,"0,77","0,46",BRC0116T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0116T,Nome não encontrado
Ácidos graxos saturados,g,"0,11","0,06",BRC0116T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,02",BRC0116T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,09",BRC0116T,Nome não encontrado
Ácidos graxos trans,g,,,BRC0116T,Nome não encontrado
Cálcio,mg,"10,5","6,27",BRC0116T,Nome não encontrado
Ferro,mg,"1,43","0,86",BRC0116T,Nome não encontrado
Sódio,mg,"4,00","2,40",BRC0116T,Nome não encontrado
Magnésio,mg,101,"60,6",BRC0116T,Nome não encontrado
Fósforo,mg,"86,0","51,6",BRC0116T,Nome não encontrado
Potássio,mg,370,222,BRC0116T,Nome não encontrado
Manganês,mg,"0,68","0,41",BRC0116T,Nome não encontrado
Zinco,mg,"1,36","0,82",BRC0116T,Nome não encontrado
Cobre,mg,"0,33","0,20",BRC0116T,Nome não encontrado
Selênio,mcg,,,BRC0116T,Nome não encontrado
Vitamina A (RE),mcg,"0,21","0,13",BRC0116T,Nome não encontrado
Vitamina A (RAE),mcg,"0,11","0,06",BRC0116T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0116T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0116T,Nome não encontrado
Tiamina,mg,"0,12","0,07",BRC0116T,Nome não encontrado
Riboflavina,mg,"0,03","0,02",BRC0116T,Nome não encontrado
Niacina,mg,"0,52","0,31",BRC0116T,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0116T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0116T,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0116T,Nome não encontrado
Equivalente de folato,mcg,"4,00","2,40",BRC0116T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0116T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0116T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0116T,Nome não encontrado
Proteína vegetal,g,"5,63","3,38",BRC0116T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0116T,Nome não encontrado
