componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,208,416,BRC0065H,Nome não encontrado
Energia,kcal,49,98,BRC0065H,Nome não encontrado
Umidade,g,"87,0",174,BRC0065H,Nome não encontrado
Carboidrato total,g,"7,69","15,4",BRC0065H,Nome não encontrado
Carboidrato disponível,g,"5,84","11,7",BRC0065H,Nome não encontrado
Proteína,g,"3,35","6,70",BRC0065H,Nome não encontrado
Lipídios,g,"0,97","1,94",BRC0065H,Nome não encontrado
Fibra alimentar,g,"1,85","3,70",BRC0065H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0065H,Nome não encontrado
Cinzas,g,"0,94","1,88",BRC0065H,Nome não encontrado
Colesterol,mg,"2,81","5,62",BRC0065H,Nome não encontrado
Ácidos graxos saturados,g,"0,58","1,16",BRC0065H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,31","0,62",BRC0065H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,06",BRC0065H,Nome não encontrado
Ácidos graxos trans,g,,,BRC0065H,Nome não encontrado
Cálcio,mg,108,216,BRC0065H,Nome não encontrado
Ferro,mg,"0,70","1,40",BRC0065H,Nome não encontrado
Sódio,mg,"39,8","79,6",BRC0065H,Nome não encontrado
Magnésio,mg,"34,6","69,2",BRC0065H,Nome não encontrado
Fósforo,mg,103,206,BRC0065H,Nome não encontrado
Potássio,mg,212,424,BRC0065H,Nome não encontrado
Manganês,mg,"0,20","0,40",BRC0065H,Nome não encontrado
Zinco,mg,"0,63","1,26",BRC0065H,Nome não encontrado
Cobre,mg,"0,21","0,42",BRC0065H,Nome não encontrado
Selênio,mcg,"0,72","1,44",BRC0065H,Nome não encontrado
Vitamina A (RE),mcg,"3,95","7,90",BRC0065H,Nome não encontrado
Vitamina A (RAE),mcg,"3,89","7,78",BRC0065H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0065H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,10",BRC0065H,Nome não encontrado
Tiamina,mg,"0,01","0,02",BRC0065H,Nome não encontrado
Riboflavina,mg,"0,03","0,06",BRC0065H,Nome não encontrado
Niacina,mg,"1,22","2,44",BRC0065H,Nome não encontrado
Vitamina B6,mg,"0,01","0,02",BRC0065H,Nome não encontrado
Vitamina B12,mcg,"0,39","0,78",BRC0065H,Nome não encontrado
Vitamina C,mg,traços,,BRC0065H,Nome não encontrado
Equivalente de folato,mcg,"5,29","10,6",BRC0065H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0065H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0065H,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0065H,Nome não encontrado
Proteína vegetal,g,"1,11","2,22",BRC0065H,Nome não encontrado
Proteína animal,g,"2,24","4,48",BRC0065H,Nome não encontrado
