componente,unidade,Valor por 100g,Concha cheia (200 g),Concha rasa (130 g),codigo_alimento,nome_alimento
Energia,kJ,765,1529,994,BRC0805F,Nome não encontrado
Energia,kcal,183,366,238,BRC0805F,Nome não encontrado
Umidade,g,"64,2",128,"83,4",BRC0805F,Nome não encontrado
Carboidrato total,g,"11,1","22,2","14,4",BRC0805F,Nome não encontrado
Carboidrato disponível,g,"8,52","17,0","11,1",BRC0805F,Nome não encontrado
Proteína,g,"13,8","27,6","17,9",BRC0805F,Nome não encontrado
Lipídios,g,"9,87","19,7","12,8",BRC0805F,Nome não encontrado
Fibra alimentar,g,"2,58","5,15","3,35",BRC0805F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0805F,Nome não encontrado
Cinzas,g,"1,09","2,18","1,42",BRC0805F,Nome não encontrado
Colesterol,mg,"87,3",174,113,BRC0805F,Nome não encontrado
Ácidos graxos saturados,g,"2,98","5,95","3,87",BRC0805F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,35","6,69","4,35",BRC0805F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,14","4,28","2,78",BRC0805F,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,19","0,12",BRC0805F,Nome não encontrado
Cálcio,mg,"41,9","83,8","54,5",BRC0805F,Nome não encontrado
Ferro,mg,"1,71","3,42","2,22",BRC0805F,Nome não encontrado
Sódio,mg,357,714,464,BRC0805F,Nome não encontrado
Magnésio,mg,"28,8","57,6","37,5",BRC0805F,Nome não encontrado
Fósforo,mg,"91,5",183,118,BRC0805F,Nome não encontrado
Potássio,mg,310,621,404,BRC0805F,Nome não encontrado
Manganês,mg,"0,05","0,10","0,06",BRC0805F,Nome não encontrado
Zinco,mg,"1,96","3,92","2,55",BRC0805F,Nome não encontrado
Cobre,mg,"0,32","0,65","0,42",BRC0805F,Nome não encontrado
Selênio,mcg,"14,4","28,9","18,8",BRC0805F,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0805F,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0805F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0805F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,64","1,29","0,84",BRC0805F,Nome não encontrado
Tiamina,mg,"0,11","0,22","0,14",BRC0805F,Nome não encontrado
Riboflavina,mg,"0,03","0,05","0,04",BRC0805F,Nome não encontrado
Niacina,mg,"1,44","2,88","1,87",BRC0805F,Nome não encontrado
Vitamina B6,mg,"0,05","0,11","0,07",BRC0805F,Nome não encontrado
Vitamina B12,mcg,"0,36","0,72","0,47",BRC0805F,Nome não encontrado
Vitamina C,mg,"8,02","16,0","10,4",BRC0805F,Nome não encontrado
Equivalente de folato,mcg,"33,8","67,5","43,9",BRC0805F,Nome não encontrado
Sal de adição,g,"0,45","0,90","0,59",BRC0805F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0805F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0805F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0805F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0805F,Nome não encontrado
