componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,143,78,42,BRC0972B,Nome não encontrado
Energia,kcal,34,18,10,BRC0972B,Nome não encontrado
Umidade,g,"89,6","49,3","26,9",BRC0972B,Nome não encontrado
Carboidrato total,g,"7,07","3,89","2,12",BRC0972B,Nome não encontrado
Carboidrato disponível,g,"4,55","2,50","1,37",BRC0972B,Nome não encontrado
Proteína,g,"2,00","1,10","0,60",BRC0972B,Nome não encontrado
Lipídios,g,"0,31","0,17","0,09",BRC0972B,Nome não encontrado
Fibra alimentar,g,"2,50","1,38","0,75",BRC0972B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0972B,Nome não encontrado
Cinzas,g,"1,08","0,59","0,32",BRC0972B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0972B,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,03","0,02",BRC0972B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0972B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,09","0,05",BRC0972B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0972B,Nome não encontrado
Cálcio,mg,"32,9","18,1","9,86",BRC0972B,Nome não encontrado
Ferro,mg,"0,44","0,24","0,13",BRC0972B,Nome não encontrado
Sódio,mg,190,104,"57,1",BRC0972B,Nome não encontrado
Magnésio,mg,"18,5","10,2","5,55",BRC0972B,Nome não encontrado
Fósforo,mg,"44,6","24,5","13,4",BRC0972B,Nome não encontrado
Potássio,mg,243,133,"73,0",BRC0972B,Nome não encontrado
Manganês,mg,"0,24","0,13","0,07",BRC0972B,Nome não encontrado
Zinco,mg,"0,30","0,16","0,09",BRC0972B,Nome não encontrado
Cobre,mg,"0,17","0,09","0,05",BRC0972B,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00",BRC0972B,Nome não encontrado
Vitamina A (RE),mcg,507,279,152,BRC0972B,Nome não encontrado
Vitamina A (RAE),mcg,253,139,"76,1",BRC0972B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0972B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,20","0,11",BRC0972B,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02",BRC0972B,Nome não encontrado
Riboflavina,mg,"0,03","0,02","0,01",BRC0972B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0972B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0972B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0972B,Nome não encontrado
Vitamina C,mg,"29,2","16,1","8,76",BRC0972B,Nome não encontrado
Equivalente de folato,mcg,"23,4","12,9","7,02",BRC0972B,Nome não encontrado
Sal de adição,g,"0,32","0,18","0,10",BRC0972B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0972B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0972B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0972B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0972B,Nome não encontrado
