componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,459,183,91,BRC0259E,Nome não encontrado
Energia,kcal,108,43,21,BRC0259E,Nome não encontrado
Umidade,g,"73,6","29,4","14,7",BRC0259E,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00",BRC0259E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00",BRC0259E,Nome não encontrado
Proteína,g,"23,6","9,42","4,71",BRC0259E,Nome não encontrado
Lipídios,g,"1,58","0,63","0,32",BRC0259E,Nome não encontrado
Fibra alimentar,g,,,,BRC0259E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0259E,Nome não encontrado
Cinzas,g,"1,31","0,52","0,26",BRC0259E,Nome não encontrado
Colesterol,mg,102,"41,2","20,6",BRC0259E,Nome não encontrado
Ácidos graxos saturados,g,"0,50","0,20","0,10",BRC0259E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,15","0,08",BRC0259E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,52","0,21","0,10",BRC0259E,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0259E,Nome não encontrado
Cálcio,mg,,,,BRC0259E,Nome não encontrado
Ferro,mg,,,,BRC0259E,Nome não encontrado
Sódio,mg,,,,BRC0259E,Nome não encontrado
Magnésio,mg,,,,BRC0259E,Nome não encontrado
Fósforo,mg,,,,BRC0259E,Nome não encontrado
Potássio,mg,,,,BRC0259E,Nome não encontrado
Manganês,mg,,,,BRC0259E,Nome não encontrado
Zinco,mg,,,,BRC0259E,Nome não encontrado
Cobre,mg,,,,BRC0259E,Nome não encontrado
Selênio,mcg,,,,BRC0259E,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0259E,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0259E,Nome não encontrado
Vitamina D,mcg,,,,BRC0259E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0259E,Nome não encontrado
Tiamina,mg,,,,BRC0259E,Nome não encontrado
Riboflavina,mg,,,,BRC0259E,Nome não encontrado
Niacina,mg,,,,BRC0259E,Nome não encontrado
Vitamina B6,mg,,,,BRC0259E,Nome não encontrado
Vitamina B12,mcg,,,,BRC0259E,Nome não encontrado
Vitamina C,mg,,,,BRC0259E,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0259E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0259E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0259E,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0259E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0259E,Nome não encontrado
Proteína animal,g,"23,6","9,42","4,71",BRC0259E,Nome não encontrado
