componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1203,360,180,BRC0068G,Nome não encontrado
Energia,kcal,291,87,43,BRC0068G,Nome não encontrado
Umidade,g,"56,8","17,0","8,52",BRC0068G,Nome não encontrado
Carboidrato total,g,"4,46","1,34","0,67",BRC0068G,Nome não encontrado
Carboidrato disponível,g,"4,46","1,34","0,67",BRC0068G,Nome não encontrado
Proteína,g,"10,6","3,18","1,59",BRC0068G,Nome não encontrado
Lipídios,g,"25,6","7,68","3,84",BRC0068G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0068G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0068G,Nome não encontrado
Cinzas,g,"2,55","0,77","0,38",BRC0068G,Nome não encontrado
Colesterol,mg,"73,9","22,2","11,1",BRC0068G,Nome não encontrado
Ácidos graxos saturados,g,"13,7","4,12","2,06",BRC0068G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,42","1,93","0,96",BRC0068G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,09","0,05",BRC0068G,Nome não encontrado
Ácidos graxos trans,g,"0,66","0,20","0,10",BRC0068G,Nome não encontrado
Cálcio,mg,299,"89,9","44,9",BRC0068G,Nome não encontrado
Ferro,mg,"0,12","0,04","0,02",BRC0068G,Nome não encontrado
Sódio,mg,589,176,"88,4",BRC0068G,Nome não encontrado
Magnésio,mg,"11,4","3,43","1,71",BRC0068G,Nome não encontrado
Fósforo,mg,472,141,"70,9",BRC0068G,Nome não encontrado
Potássio,mg,"98,3","29,5","14,7",BRC0068G,Nome não encontrado
Manganês,mg,"0,02","0,00","0,00",BRC0068G,Nome não encontrado
Zinco,mg,"1,48","0,44","0,22",BRC0068G,Nome não encontrado
Cobre,mg,"0,05","0,01","0,01",BRC0068G,Nome não encontrado
Selênio,mcg,,,,BRC0068G,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0068G,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0068G,Nome não encontrado
Vitamina D,mcg,"0,45","0,13","0,07",BRC0068G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,69","0,21","0,10",BRC0068G,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,00",BRC0068G,Nome não encontrado
Riboflavina,mg,"0,20","0,06","0,03",BRC0068G,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0068G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0068G,Nome não encontrado
Vitamina B12,mcg,"0,42","0,12","0,06",BRC0068G,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0068G,Nome não encontrado
Equivalente de folato,mcg,"12,5","3,75","1,87",BRC0068G,Nome não encontrado
Sal de adição,g,,,,BRC0068G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0068G,Nome não encontrado
Gordura de adição,g,,,,BRC0068G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0068G,Nome não encontrado
Proteína animal,g,"10,6","3,18","1,59",BRC0068G,Nome não encontrado
