componente,unidade,Valor por 100g,Colher chá cheia (4 g),Colher chá rasa (2.5 g),Colher sobremesa cheia (13 g),Colher sobremesa rasa (7 g),Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1572,62,39,204,110,314,157,BRC0095A,Nome não encontrado
Energia,kcal,371,14,9,48,25,74,37,BRC0095A,Nome não encontrado
Umidade,g,"4,37","0,17","0,11","0,57","0,31","0,87","0,44",BRC0095A,Nome não encontrado
Carboidrato total,g,"81,6","3,26","2,04","10,6","5,71","16,3","8,16",BRC0095A,Nome não encontrado
Carboidrato disponível,g,"76,6","3,07","1,92","9,96","5,36","15,3","7,66",BRC0095A,Nome não encontrado
Proteína,g,"8,90","0,36","0,22","1,16","0,62","1,78","0,89",BRC0095A,Nome não encontrado
Lipídios,g,"2,12","0,08","0,05","0,28","0,15","0,42","0,21",BRC0095A,Nome não encontrado
Fibra alimentar,g,"4,98","0,20","0,12","0,65","0,35","1,00","0,50",BRC0095A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0095A,Nome não encontrado
Cinzas,g,"3,00","0,12","0,08","0,39","0,21","0,60","0,30",BRC0095A,Nome não encontrado
Colesterol,mg,,,,,,,,BRC0095A,Nome não encontrado
Ácidos graxos saturados,g,"0,50","0,02","0,01","0,07","0,04","0,10","0,05",BRC0095A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,40","0,02","0,01","0,05","0,03","0,08","0,04",BRC0095A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,00","0,04","0,03","0,13","0,07","0,20","0,10",BRC0095A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,traços,traços,traços,BRC0095A,Nome não encontrado
Cálcio,mg,584,"23,4","14,6","76,0","40,9",116,"58,4",BRC0095A,Nome não encontrado
Ferro,mg,"12,6","0,51","0,32","1,64","0,88","2,53","1,26",BRC0095A,Nome não encontrado
Sódio,mg,1163,"46,5","29,1",151,"81,4",232,116,BRC0095A,Nome não encontrado
Magnésio,mg,"72,3","2,89","1,81","9,39","5,06","14,5","7,23",BRC0095A,Nome não encontrado
Fósforo,mg,515,"20,6","12,9","67,0","36,1",103,"51,5",BRC0095A,Nome não encontrado
Potássio,mg,244,"9,77","6,11","31,8","17,1","48,9","24,4",BRC0095A,Nome não encontrado
Manganês,mg,"2,28","0,09","0,06","0,30","0,16","0,46","0,23",BRC0095A,Nome não encontrado
Zinco,mg,"2,02","0,08","0,05","0,26","0,14","0,40","0,20",BRC0095A,Nome não encontrado
Cobre,mg,"0,21","0,01","0,01","0,03","0,01","0,04","0,02",BRC0095A,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0095A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0095A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0095A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0095A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,77","0,07","0,04","0,23","0,12","0,35","0,18",BRC0095A,Nome não encontrado
Tiamina,mg,"0,76","0,03","0,02","0,10","0,05","0,15","0,08",BRC0095A,Nome não encontrado
Riboflavina,mg,"0,88","0,04","0,02","0,11","0,06","0,18","0,09",BRC0095A,Nome não encontrado
Niacina,mg,"7,46","0,30","0,19","0,97","0,52","1,49","0,75",BRC0095A,Nome não encontrado
Vitamina B6,mg,"1,49","0,06","0,04","0,19","0,10","0,30","0,15",BRC0095A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0095A,Nome não encontrado
Vitamina C,mg,"13,1","0,52","0,33","1,70","0,92","2,62","1,31",BRC0095A,Nome não encontrado
Equivalente de folato,mcg,"44,1","1,76","1,10","5,73","3,09","8,82","4,41",BRC0095A,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0095A,Nome não encontrado
Açúcar de adição,g,,,,,,,,BRC0095A,Nome não encontrado
Gordura de adição,g,,,,,,,,BRC0095A,Nome não encontrado
Proteína vegetal,g,,,,,,,,BRC0095A,Nome não encontrado
Proteína animal,g,,,,,,,,BRC0095A,Nome não encontrado
