componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,398,955,656,795,BRC0102G,Nome não encontrado
Energia,kcal,95,226,155,189,BRC0102G,Nome não encontrado
Umidade,g,"79,4",190,130,158,BRC0102G,Nome não encontrado
Carboidrato total,g,"13,5","32,3","22,2","26,9",BRC0102G,Nome não encontrado
Carboidrato disponível,g,"13,5","32,3","22,2","26,9",BRC0102G,Nome não encontrado
Proteína,g,"3,28","7,87","5,41","6,56",BRC0102G,Nome não encontrado
Lipídios,g,"3,07","7,36","5,06","6,13",BRC0102G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0102G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0102G,Nome não encontrado
Cinzas,g,"0,82","1,96","1,35","1,64",BRC0102G,Nome não encontrado
Colesterol,mg,"10,4","24,9","17,1","20,8",BRC0102G,Nome não encontrado
Ácidos graxos saturados,g,"1,90","4,55","3,13","3,79",BRC0102G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,90","2,16","1,49","1,80",BRC0102G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,27","0,18","0,22",BRC0102G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0102G,Nome não encontrado
Cálcio,mg,103,247,170,206,BRC0102G,Nome não encontrado
Ferro,mg,"1,48","3,55","2,44","2,96",BRC0102G,Nome não encontrado
Sódio,mg,"55,7",133,"91,9",111,BRC0102G,Nome não encontrado
Magnésio,mg,"59,1",141,"97,6",118,BRC0102G,Nome não encontrado
Fósforo,mg,143,345,237,287,BRC0102G,Nome não encontrado
Potássio,mg,267,642,441,535,BRC0102G,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00",BRC0102G,Nome não encontrado
Zinco,mg,"1,02","2,44","1,68","2,04",BRC0102G,Nome não encontrado
Cobre,mg,"0,02","0,04","0,03","0,03",BRC0102G,Nome não encontrado
Selênio,mcg,"4,04","9,69","6,66","8,07",BRC0102G,Nome não encontrado
Vitamina A (RE),mcg,"41,7",100,"68,8","83,3",BRC0102G,Nome não encontrado
Vitamina A (RAE),mcg,"41,0","98,4","67,6","82,0",BRC0102G,Nome não encontrado
Vitamina D,mcg,"0,82","1,96","1,35","1,64",BRC0102G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,16","0,11","0,13",BRC0102G,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07","0,08",BRC0102G,Nome não encontrado
Riboflavina,mg,"0,23","0,54","0,37","0,45",BRC0102G,Nome não encontrado
Niacina,mg,"1,50","3,60","2,48","3,00",BRC0102G,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0102G,Nome não encontrado
Vitamina B12,mcg,"0,31","0,75","0,52","0,63",BRC0102G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0102G,Nome não encontrado
Equivalente de folato,mcg,"7,62","18,3","12,6","15,2",BRC0102G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0102G,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0102G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0102G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0102G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0102G,Nome não encontrado
