componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,458,228,114,503,412,BRC0940A,Nome não encontrado
Energia,kcal,109,54,27,120,98,BRC0940A,Nome não encontrado
Umidade,g,"75,4","37,7","18,8","82,9","67,9",BRC0940A,Nome não encontrado
Carboidrato total,g,"13,5","6,77","3,39","14,9","12,2",BRC0940A,Nome não encontrado
Carboidrato disponível,g,"12,1","6,06","3,03","13,3","10,9",BRC0940A,Nome não encontrado
Proteína,g,"4,81","2,40","1,20","5,29","4,33",BRC0940A,Nome não encontrado
Lipídios,g,"4,93","2,46","1,23","5,42","4,43",BRC0940A,Nome não encontrado
Fibra alimentar,g,"1,43","0,71","0,36","1,57","1,28",BRC0940A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0940A,Nome não encontrado
Cinzas,g,"1,33","0,66","0,33","1,46","1,19",BRC0940A,Nome não encontrado
Colesterol,mg,"7,78","3,89","1,94","8,55","7,00",BRC0940A,Nome não encontrado
Ácidos graxos saturados,g,"0,83","0,42","0,21","0,91","0,75",BRC0940A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,93","0,96","0,48","2,12","1,74",BRC0940A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,95","0,98","0,49","2,15","1,76",BRC0940A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0940A,Nome não encontrado
Cálcio,mg,"45,8","22,9","11,5","50,4","41,2",BRC0940A,Nome não encontrado
Ferro,mg,"0,56","0,28","0,14","0,62","0,51",BRC0940A,Nome não encontrado
Sódio,mg,296,148,"74,1",326,266,BRC0940A,Nome não encontrado
Magnésio,mg,"23,5","11,7","5,87","25,8","21,1",BRC0940A,Nome não encontrado
Fósforo,mg,"95,8","47,9","23,9",105,"86,2",BRC0940A,Nome não encontrado
Potássio,mg,154,"77,4","38,7",170,139,BRC0940A,Nome não encontrado
Manganês,mg,"0,14","0,07","0,04","0,16","0,13",BRC0940A,Nome não encontrado
Zinco,mg,"0,69","0,35","0,17","0,76","0,62",BRC0940A,Nome não encontrado
Cobre,mg,"0,10","0,05","0,03","0,11","0,09",BRC0940A,Nome não encontrado
Selênio,mcg,"4,45","2,22","1,11","4,89","4,00",BRC0940A,Nome não encontrado
Vitamina A (RE),mcg,123,"61,7","30,9",135,111,BRC0940A,Nome não encontrado
Vitamina A (RAE),mcg,"62,4","31,2","15,6","68,6","56,2",BRC0940A,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,01","0,05","0,04",BRC0940A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16","0,08","0,04","0,18","0,15",BRC0940A,Nome não encontrado
Tiamina,mg,"0,15","0,08","0,04","0,17","0,14",BRC0940A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,00","0,01","0,01",BRC0940A,Nome não encontrado
Niacina,mg,"1,14","0,57","0,28","1,25","1,03",BRC0940A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,00","0,02","0,02",BRC0940A,Nome não encontrado
Vitamina B12,mcg,"0,13","0,06","0,03","0,14","0,11",BRC0940A,Nome não encontrado
Vitamina C,mg,"1,52","0,76","0,38","1,67","1,36",BRC0940A,Nome não encontrado
Equivalente de folato,mcg,"8,07","4,04","2,02","8,88","7,26",BRC0940A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0940A,Nome não encontrado
Açúcar de adição,g,"2,11","1,05","0,53","2,32","1,90",BRC0940A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0940A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0940A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0940A,Nome não encontrado
