componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,210,502,345,BRC0182T,Nome não encontrado
Energia,kcal,49,118,81,BRC0182T,Nome não encontrado
Umidade,g,"88,0",211,145,BRC0182T,Nome não encontrado
Carboidrato total,g,"8,23","19,8","13,6",BRC0182T,Nome não encontrado
Carboidrato disponível,g,"8,23","19,8","13,6",BRC0182T,Nome não encontrado
Proteína,g,"2,82","6,76","4,65",BRC0182T,Nome não encontrado
Lipídios,g,"0,59","1,40","0,97",BRC0182T,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0182T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0182T,Nome não encontrado
Cinzas,g,"0,36","0,87","0,60",BRC0182T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0182T,Nome não encontrado
Ácidos graxos saturados,g,"0,07","0,18","0,12",BRC0182T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,13","0,32","0,22",BRC0182T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,32","0,76","0,52",BRC0182T,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0182T,Nome não encontrado
Cálcio,mg,706,1695,1165,BRC0182T,Nome não encontrado
Ferro,mg,"4,61","11,1","7,61",BRC0182T,Nome não encontrado
Sódio,mg,204,490,337,BRC0182T,Nome não encontrado
Magnésio,mg,"25,7","61,8","42,5",BRC0182T,Nome não encontrado
Fósforo,mg,499,1198,823,BRC0182T,Nome não encontrado
Potássio,mg,241,580,399,BRC0182T,Nome não encontrado
Manganês,mg,"0,73","1,74","1,20",BRC0182T,Nome não encontrado
Zinco,mg,"0,56","1,35","0,93",BRC0182T,Nome não encontrado
Cobre,mg,"0,69","1,65","1,13",BRC0182T,Nome não encontrado
Selênio,mcg,,,,BRC0182T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0182T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0182T,Nome não encontrado
Vitamina D,mcg,,,,BRC0182T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0182T,Nome não encontrado
Tiamina,mg,"0,10","0,23","0,16",BRC0182T,Nome não encontrado
Riboflavina,mg,"0,11","0,27","0,19",BRC0182T,Nome não encontrado
Niacina,mg,"0,56","1,33","0,92",BRC0182T,Nome não encontrado
Vitamina B6,mg,"0,03","0,06","0,04",BRC0182T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0182T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0182T,Nome não encontrado
Equivalente de folato,mcg,"8,18","19,6","13,5",BRC0182T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0182T,Nome não encontrado
Açúcar de adição,g,,,,BRC0182T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0182T,Nome não encontrado
Proteína vegetal,g,"2,82","6,76","4,65",BRC0182T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0182T,Nome não encontrado
