componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,448,246,179,BRC0931A,Nome não encontrado
Energia,kcal,106,58,42,BRC0931A,Nome não encontrado
Umidade,g,"75,5","41,5","30,2",BRC0931A,Nome não encontrado
Carboidrato total,g,"19,4","10,7","7,76",BRC0931A,Nome não encontrado
Carboidrato disponível,g,"17,6","9,67","7,03",BRC0931A,Nome não encontrado
Proteína,g,"2,02","1,11","0,81",BRC0931A,Nome não encontrado
Lipídios,g,"2,70","1,48","1,08",BRC0931A,Nome não encontrado
Fibra alimentar,g,"1,82","1,00","0,73",BRC0931A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0931A,Nome não encontrado
Cinzas,g,"0,39","0,21","0,15",BRC0931A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0931A,Nome não encontrado
Ácidos graxos saturados,g,"0,52","0,28","0,21",BRC0931A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,73","0,40","0,29",BRC0931A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,41","0,78","0,57",BRC0931A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0931A,Nome não encontrado
Cálcio,mg,"8,41","4,63","3,37",BRC0931A,Nome não encontrado
Ferro,mg,"0,33","0,18","0,13",BRC0931A,Nome não encontrado
Sódio,mg,"2,66","1,46","1,06",BRC0931A,Nome não encontrado
Magnésio,mg,"20,3","11,2","8,12",BRC0931A,Nome não encontrado
Fósforo,mg,"34,7","19,1","13,9",BRC0931A,Nome não encontrado
Potássio,mg,"41,9","23,0","16,7",BRC0931A,Nome não encontrado
Manganês,mg,"0,24","0,13","0,10",BRC0931A,Nome não encontrado
Zinco,mg,"0,21","0,12","0,09",BRC0931A,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01",BRC0931A,Nome não encontrado
Selênio,mcg,"0,72","0,40","0,29",BRC0931A,Nome não encontrado
Vitamina A (RE),mcg,"9,43","5,19","3,77",BRC0931A,Nome não encontrado
Vitamina A (RAE),mcg,"9,43","5,19","3,77",BRC0931A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0931A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,29","0,16","0,12",BRC0931A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0931A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0931A,Nome não encontrado
Niacina,mg,"0,05","0,03","0,02",BRC0931A,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,03",BRC0931A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0931A,Nome não encontrado
Vitamina C,mg,"0,97","0,53","0,39",BRC0931A,Nome não encontrado
Equivalente de folato,mcg,"8,54","4,70","3,41",BRC0931A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0931A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0931A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0931A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0931A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0931A,Nome não encontrado
