componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,498,298,224,497,BRC0408E,Nome não encontrado
Energia,kcal,118,70,53,118,BRC0408E,Nome não encontrado
Umidade,g,"72,9","43,7","32,8","72,9",BRC0408E,Nome não encontrado
Carboidrato total,g,"5,06","3,04","2,28","5,06",BRC0408E,Nome não encontrado
Carboidrato disponível,g,"5,01","3,01","2,26","5,01",BRC0408E,Nome não encontrado
Proteína,g,"17,8","10,7","8,00","17,8",BRC0408E,Nome não encontrado
Lipídios,g,"2,97","1,78","1,34","2,97",BRC0408E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0408E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0408E,Nome não encontrado
Cinzas,g,"1,32","0,79","0,59","1,32",BRC0408E,Nome não encontrado
Colesterol,mg,"33,3","20,0","15,0","33,3",BRC0408E,Nome não encontrado
Ácidos graxos saturados,g,"1,11","0,66","0,50","1,11",BRC0408E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,65","0,39","0,29","0,65",BRC0408E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,74","0,44","0,33","0,74",BRC0408E,Nome não encontrado
Ácidos graxos trans,g,-,-,-,-,BRC0408E,Nome não encontrado
Cálcio,mg,"40,7","24,4","18,3","40,7",BRC0408E,Nome não encontrado
Ferro,mg,"0,33","0,20","0,15","0,33",BRC0408E,Nome não encontrado
Sódio,mg,247,148,111,247,BRC0408E,Nome não encontrado
Magnésio,mg,"24,0","14,4","10,8","24,0",BRC0408E,Nome não encontrado
Fósforo,mg,223,133,100,223,BRC0408E,Nome não encontrado
Potássio,mg,365,219,164,365,BRC0408E,Nome não encontrado
Manganês,mg,"0,05","0,03","0,02","0,05",BRC0408E,Nome não encontrado
Zinco,mg,"0,47","0,28","0,21","0,47",BRC0408E,Nome não encontrado
Cobre,mg,"0,15","0,09","0,07","0,15",BRC0408E,Nome não encontrado
Selênio,mcg,"31,7","19,0","14,3","31,7",BRC0408E,Nome não encontrado
Vitamina A (RE),mcg,"24,1","14,5","10,9","24,1",BRC0408E,Nome não encontrado
Vitamina A (RAE),mcg,"23,9","14,3","10,7","23,9",BRC0408E,Nome não encontrado
Vitamina D,mcg,"0,08","0,05","0,03","0,08",BRC0408E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,69","0,41","0,31","0,69",BRC0408E,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02","0,05",BRC0408E,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,03","0,07",BRC0408E,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0408E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0408E,Nome não encontrado
Vitamina B12,mcg,"1,13","0,68","0,51","1,13",BRC0408E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0408E,Nome não encontrado
Equivalente de folato,mcg,"7,10","4,26","3,19","7,10",BRC0408E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0408E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0408E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0408E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0408E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0408E,Nome não encontrado
