componente,unidade,Valor por 100g,Colher chá cheia (4 g),Colher chá rasa (1.7 g),Colher sobremesa cheia (7 g),Colher sobremesa rasa (5 g),Colher sopa cheia (15 g),Colher sopa rasa (7 g),codigo_alimento,nome_alimento
Energia,kJ,1607,64,27,112,80,241,112,BRC0025A,Nome não encontrado
Energia,kcal,382,15,6,26,19,57,26,BRC0025A,Nome não encontrado
Umidade,g,"9,80","0,39","0,17","0,69","0,49","1,47","0,69",BRC0025A,Nome não encontrado
Carboidrato total,g,"63,8","2,55","1,08","4,47","3,19","9,57","4,47",BRC0025A,Nome não encontrado
Carboidrato disponível,g,"54,4","2,18","0,93","3,81","2,72","8,16","3,81",BRC0025A,Nome não encontrado
Proteína,g,"15,7","0,63","0,27","1,10","0,79","2,36","1,10",BRC0025A,Nome não encontrado
Lipídios,g,"9,20","0,37","0,16","0,64","0,46","1,38","0,64",BRC0025A,Nome não encontrado
Fibra alimentar,g,"9,38","0,38","0,16","0,66","0,47","1,41","0,66",BRC0025A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
Cinzas,g,"1,50","0,06","0,03","0,11","0,08","0,23","0,11",BRC0025A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
Ácidos graxos saturados,g,"1,67","0,07","0,03","0,12","0,08","0,25","0,12",BRC0025A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,42","0,14","0,06","0,24","0,17","0,51","0,24",BRC0025A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,27","0,13","0,06","0,23","0,16","0,49","0,23",BRC0025A,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,BRC0025A,Nome não encontrado
Cálcio,mg,"47,5","1,90","0,81","3,33","2,38","7,13","3,33",BRC0025A,Nome não encontrado
Ferro,mg,"4,41","0,18","0,08","0,31","0,22","0,66","0,31",BRC0025A,Nome não encontrado
Sódio,mg,"4,59","0,18","0,08","0,32","0,23","0,69","0,32",BRC0025A,Nome não encontrado
Magnésio,mg,117,"4,72","2,00","8,25","5,89","17,7","8,25",BRC0025A,Nome não encontrado
Fósforo,mg,152,"6,09","2,59","10,7","7,61","22,8","10,7",BRC0025A,Nome não encontrado
Potássio,mg,333,"13,4","5,68","23,4","16,7","50,1","23,4",BRC0025A,Nome não encontrado
Manganês,mg,"1,88","0,08","0,03","0,13","0,09","0,28","0,13",BRC0025A,Nome não encontrado
Zinco,mg,"2,61","0,10","0,04","0,18","0,13","0,39","0,18",BRC0025A,Nome não encontrado
Cobre,mg,"0,44","0,02","0,01","0,03","0,02","0,07","0,03",BRC0025A,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0025A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,,,,BRC0025A,Nome não encontrado
Tiamina,mg,"0,55","0,02","0,01","0,04","0,03","0,08","0,04",BRC0025A,Nome não encontrado
Riboflavina,mg,"0,03","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
Niacina,mg,"4,44","0,18","0,08","0,31","0,22","0,67","0,31",BRC0025A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0025A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
Vitamina C,mg,"1,34","0,05","0,02","0,09","0,07","0,20","0,09",BRC0025A,Nome não encontrado
Equivalente de folato,mcg,"55,0","2,20","0,94","3,85","2,75","8,26","3,85",BRC0025A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
Proteína vegetal,g,"15,7","0,63","0,27","1,10","0,79","2,36","1,10",BRC0025A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0025A,Nome não encontrado
