componente,unidade,Valor por 100g,Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,533,106,BRC0999B,Nome não encontrado
Energia,kcal,128,25,BRC0999B,Nome não encontrado
Umidade,g,"72,0","14,4",BRC0999B,Nome não encontrado
Carboidrato total,g,"9,21","1,84",BRC0999B,Nome não encontrado
Carboidrato disponível,g,"4,14","0,83",BRC0999B,Nome não encontrado
Proteína,g,"11,5","2,29",BRC0999B,Nome não encontrado
Lipídios,g,"6,15","1,23",BRC0999B,Nome não encontrado
Fibra alimentar,g,"5,08","1,02",BRC0999B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0999B,Nome não encontrado
Cinzas,g,"1,19","0,24",BRC0999B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0999B,Nome não encontrado
Ácidos graxos saturados,g,"0,77","0,15",BRC0999B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,50","0,30",BRC0999B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,77","0,55",BRC0999B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0999B,Nome não encontrado
Cálcio,mg,"60,7","12,1",BRC0999B,Nome não encontrado
Ferro,mg,"2,18","0,44",BRC0999B,Nome não encontrado
Sódio,mg,"5,80","1,16",BRC0999B,Nome não encontrado
Magnésio,mg,"61,6","12,3",BRC0999B,Nome não encontrado
Fósforo,mg,164,"32,8",BRC0999B,Nome não encontrado
Potássio,mg,429,"85,9",BRC0999B,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0999B,Nome não encontrado
Zinco,mg,"1,32","0,26",BRC0999B,Nome não encontrado
Cobre,mg,"0,34","0,07",BRC0999B,Nome não encontrado
Selênio,mcg,"0,79","0,16",BRC0999B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0999B,Nome não encontrado
Vitamina A (RAE),mcg,"14,3","2,85",BRC0999B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0999B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,81","0,16",BRC0999B,Nome não encontrado
Tiamina,mg,"0,19","0,04",BRC0999B,Nome não encontrado
Riboflavina,mg,"0,15","0,03",BRC0999B,Nome não encontrado
Niacina,mg,"0,87","0,17",BRC0999B,Nome não encontrado
Vitamina B6,mg,"0,11","0,02",BRC0999B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0999B,Nome não encontrado
Vitamina C,mg,295,"59,2",BRC0999B,Nome não encontrado
Equivalente de folato,mcg,"0,69","0,14",BRC0999B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0999B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0999B,Nome não encontrado
Gordura de adição,g,-,-,BRC0999B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0999B,Nome não encontrado
Proteína animal,g,-,-,BRC0999B,Nome não encontrado
