componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,43,102,70,85,BRC0007H,Nome não encontrado
Energia,kcal,10,24,16,20,BRC0007H,Nome não encontrado
Umidade,g,"97,2",233,160,194,BRC0007H,Nome não encontrado
Carboidrato total,g,"1,68","4,03","2,77","3,36",BRC0007H,Nome não encontrado
Carboidrato disponível,g,"1,68","4,03","2,77","3,36",BRC0007H,Nome não encontrado
Proteína,g,"0,67","1,61","1,11","1,34",BRC0007H,Nome não encontrado
Lipídios,g,"0,07","0,17","0,11","0,14",BRC0007H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Cinzas,g,"0,36","0,87","0,60","0,73",BRC0007H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,02","0,01","0,01",BRC0007H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,12","0,09","0,10",BRC0007H,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,,BRC0007H,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0007H,Nome não encontrado
Cálcio,mg,"3,16","7,58","5,21","6,32",BRC0007H,Nome não encontrado
Ferro,mg,traços,traços,traços,,BRC0007H,Nome não encontrado
Sódio,mg,"1,03","2,46","1,69","2,05",BRC0007H,Nome não encontrado
Magnésio,mg,"9,66","23,2","15,9","19,3",BRC0007H,Nome não encontrado
Fósforo,mg,"9,50","22,8","15,7","19,0",BRC0007H,Nome não encontrado
Potássio,mg,155,373,256,311,BRC0007H,Nome não encontrado
Manganês,mg,"0,04","0,09","0,06","0,08",BRC0007H,Nome não encontrado
Zinco,mg,traços,traços,traços,,BRC0007H,Nome não encontrado
Cobre,mg,"0,01","0,01","0,01","0,01",BRC0007H,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,08","0,06","0,07",BRC0007H,Nome não encontrado
Tiamina,mg,"0,01","0,03","0,02","0,03",BRC0007H,Nome não encontrado
Riboflavina,mg,"0,08","0,18","0,13","0,15",BRC0007H,Nome não encontrado
Niacina,mg,"0,19","0,46","0,32","0,38",BRC0007H,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,,BRC0007H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Equivalente de folato,mcg,"2,00","4,80","3,30","4,00",BRC0007H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0007H,Nome não encontrado
Proteína vegetal,g,"0,67","1,61","1,11","1,34",BRC0007H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0007H,Nome não encontrado
