componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher servir rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,164,65,41,BRC0318B,Nome não encontrado
Energia,kcal,40,15,9,BRC0318B,Nome não encontrado
Umidade,g,"91,8","36,7","23,0",BRC0318B,Nome não encontrado
Carboidrato total,g,"3,80","1,52","0,95",BRC0318B,Nome não encontrado
Carboidrato disponível,g,"2,24","0,90","0,56",BRC0318B,Nome não encontrado
Proteína,g,"1,05","0,42","0,26",BRC0318B,Nome não encontrado
Lipídios,g,"2,59","1,04","0,65",BRC0318B,Nome não encontrado
Fibra alimentar,g,"1,57","0,63","0,39",BRC0318B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0318B,Nome não encontrado
Cinzas,g,"0,63","0,25","0,16",BRC0318B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0318B,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,16","0,10",BRC0318B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,91","0,76","0,48",BRC0318B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,27","0,11","0,07",BRC0318B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0318B,Nome não encontrado
Cálcio,mg,"21,4","8,54","5,34",BRC0318B,Nome não encontrado
Ferro,mg,"0,40","0,16","0,10",BRC0318B,Nome não encontrado
Sódio,mg,"8,64","3,46","2,16",BRC0318B,Nome não encontrado
Magnésio,mg,"8,75","3,50","2,19",BRC0318B,Nome não encontrado
Fósforo,mg,"23,6","9,45","5,91",BRC0318B,Nome não encontrado
Potássio,mg,281,112,"70,3",BRC0318B,Nome não encontrado
Manganês,mg,"0,14","0,06","0,04",BRC0318B,Nome não encontrado
Zinco,mg,"0,29","0,12","0,07",BRC0318B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01",BRC0318B,Nome não encontrado
Selênio,mcg,"0,11","0,05","0,03",BRC0318B,Nome não encontrado
Vitamina A (RE),mcg,"30,9","12,4","7,73",BRC0318B,Nome não encontrado
Vitamina A (RAE),mcg,"15,5","6,19","3,87",BRC0318B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0318B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,20","0,13",BRC0318B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01",BRC0318B,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,00",BRC0318B,Nome não encontrado
Niacina,mg,"0,02","0,01","0,00",BRC0318B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01",BRC0318B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0318B,Nome não encontrado
Vitamina C,mg,"9,56","3,82","2,39",BRC0318B,Nome não encontrado
Equivalente de folato,mcg,"24,2","9,68","6,05",BRC0318B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0318B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0318B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0318B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0318B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0318B,Nome não encontrado
