componente,unidade,Valor por 100g,Colher chá cheia (9.5 g),Colher chá rasa (4 g),Colher sobremesa cheia (26 g),Colher sobremesa rasa (11 g),Colher sopa cheia (34 g),Colher sopa rasa (22 g),Copo americano duplo (320 g),Copo americano pequeno (230 g),codigo_alimento,nome_alimento
Energia,kJ,1094,103,43,284,120,371,240,3500,2516,BRC0019K,Nome não encontrado
Energia,kcal,258,24,10,67,28,87,56,825,593,BRC0019K,Nome não encontrado
Umidade,g,"33,4","3,18","1,34","8,69","3,68","11,4","7,35",106,"76,9",BRC0019K,Nome não encontrado
Carboidrato total,g,"65,7","6,24","2,63","17,1","7,22","22,3","14,4",210,151,BRC0019K,Nome não encontrado
Carboidrato disponível,g,"61,5","5,84","2,46","16,0","6,76","20,9","13,5",196,141,BRC0019K,Nome não encontrado
Proteína,g,"0,31","0,03","0,01","0,08","0,03","0,11","0,07","0,99","0,71",BRC0019K,Nome não encontrado
Lipídios,g,"0,27","0,03","0,01","0,07","0,03","0,09","0,06","0,86","0,62",BRC0019K,Nome não encontrado
Fibra alimentar,g,"4,21","0,40","0,17","1,09","0,46","1,43","0,93","13,5","9,68",BRC0019K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0019K,Nome não encontrado
Cinzas,g,"0,33","0,03","0,01","0,09","0,04","0,11","0,07","1,06","0,76",BRC0019K,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0019K,Nome não encontrado
Ácidos graxos saturados,g,"0,07","0,01","0,00","0,02","0,01","0,02","0,01","0,22","0,16",BRC0019K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,03",BRC0019K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,01","0,00","0,01","0,01","0,02","0,01","0,17","0,12",BRC0019K,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,,,BRC0019K,Nome não encontrado
Cálcio,mg,"6,64","0,63","0,27","1,73","0,73","2,26","1,46","21,2","15,3",BRC0019K,Nome não encontrado
Ferro,mg,"0,18","0,02","0,01","0,05","0,02","0,06","0,04","0,58","0,41",BRC0019K,Nome não encontrado
Sódio,mg,"28,4","2,70","1,14","7,39","3,13","9,67","6,26","91,0","65,4",BRC0019K,Nome não encontrado
Magnésio,mg,"5,69","0,54","0,23","1,48","0,63","1,93","1,25","18,2","13,1",BRC0019K,Nome não encontrado
Fósforo,mg,"5,69","0,54","0,23","1,48","0,63","1,93","1,25","18,2","13,1",BRC0019K,Nome não encontrado
Potássio,mg,"51,2","4,86","2,05","13,3","5,63","17,4","11,3",163,117,BRC0019K,Nome não encontrado
Manganês,mg,"0,13","0,01","0,01","0,03","0,01","0,04","0,03","0,42","0,30",BRC0019K,Nome não encontrado
Zinco,mg,"0,03","0,00","0,00","0,01","0,00","0,01","0,01","0,09","0,06",BRC0019K,Nome não encontrado
Cobre,mg,,,,,,,,,,BRC0019K,Nome não encontrado
Selênio,mcg,,,,,,,,,,BRC0019K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0019K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0019K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0019K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0019K,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0019K,Nome não encontrado
Riboflavina,mg,"0,03","0,00","0,00","0,01","0,00","0,01","0,01","0,08","0,06",BRC0019K,Nome não encontrado
Niacina,mg,"0,03","0,00","0,00","0,01","0,00","0,01","0,01","0,11","0,08",BRC0019K,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,00","0,00","0,00","0,01","0,00","0,06","0,04",BRC0019K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0019K,Nome não encontrado
Vitamina C,mg,"0,85","0,08","0,03","0,22","0,09","0,29","0,19","2,73","1,96",BRC0019K,Nome não encontrado
Equivalente de folato,mcg,"1,90","0,18","0,08","0,49","0,21","0,64","0,42","6,07","4,36",BRC0019K,Nome não encontrado
Sal de adição,g,,,,,,,,,,BRC0019K,Nome não encontrado
Açúcar de adição,g,,,,,,,,,,BRC0019K,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0019K,Nome não encontrado
Proteína vegetal,g,,,,,,,,,,BRC0019K,Nome não encontrado
Proteína animal,g,,,,,,,,,,BRC0019K,Nome não encontrado
