componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,273,95,46,381,218,BRC0003T,Nome não encontrado
Energia,kcal,65,22,11,91,52,BRC0003T,Nome não encontrado
Umidade,g,"80,0","28,0","13,6",112,"64,0",BRC0003T,Nome não encontrado
Carboidrato total,g,"13,5","4,73","2,30","18,9","10,8",BRC0003T,Nome não encontrado
Carboidrato disponível,g,"6,03","2,11","1,02","8,44","4,82",BRC0003T,Nome não encontrado
Proteína,g,"5,09","1,78","0,87","7,13","4,08",BRC0003T,Nome não encontrado
Lipídios,g,"0,64","0,23","0,11","0,90","0,52",BRC0003T,Nome não encontrado
Fibra alimentar,g,"7,47","2,62","1,27","10,5","5,98",BRC0003T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0003T,Nome não encontrado
Cinzas,g,"0,75","0,26","0,13","1,05","0,60",BRC0003T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0003T,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,07","0,03","0,28","0,16",BRC0003T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,04","0,02","0,14","0,08",BRC0003T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,11","0,05","0,42","0,24",BRC0003T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0003T,Nome não encontrado
Cálcio,mg,"17,5","6,11","2,97","24,4","14,0",BRC0003T,Nome não encontrado
Ferro,mg,"1,06","0,37","0,18","1,48","0,85",BRC0003T,Nome não encontrado
Sódio,mg,"0,98","0,34","0,17","1,37","0,79",BRC0003T,Nome não encontrado
Magnésio,mg,"38,1","13,3","6,48","53,4","30,5",BRC0003T,Nome não encontrado
Fósforo,mg,"84,6","29,6","14,4",118,"67,7",BRC0003T,Nome não encontrado
Potássio,mg,252,"88,5","43,0",354,202,BRC0003T,Nome não encontrado
Manganês,mg,"0,53","0,19","0,09","0,74","0,42",BRC0003T,Nome não encontrado
Zinco,mg,"2,58","0,90","0,44","3,62","2,07",BRC0003T,Nome não encontrado
Cobre,mg,"0,53","0,18","0,09","0,74","0,42",BRC0003T,Nome não encontrado
Selênio,mcg,"2,04","0,72","0,35","2,86","1,63",BRC0003T,Nome não encontrado
Vitamina A (RE),mcg,,,,,,BRC0003T,Nome não encontrado
Vitamina A (RAE),mcg,,,,,,BRC0003T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0003T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,20","0,07","0,03","0,28","0,16",BRC0003T,Nome não encontrado
Tiamina,mg,"0,12","0,04","0,02","0,17","0,10",BRC0003T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0003T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0003T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0003T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0003T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0003T,Nome não encontrado
Equivalente de folato,mcg,"93,4","32,7","15,9",130,"74,7",BRC0003T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0003T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0003T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0003T,Nome não encontrado
Proteína vegetal,g,"5,09","1,78","0,87","7,13","4,08",BRC0003T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0003T,Nome não encontrado
