componente,unidade,Valor por 100g,Colher café cheia (2 g),Colher café rasa (1 g),Colher chá cheia (5 g),Colher chá rasa (3 g),Colher sobremesa cheia (16 g),Colher sobremesa rasa (9 g),Colher sopa cheia (24 g),Colher sopa rasa (15 g),Copo americano duplo (219 g),Copo americano pequeno (160 g),Xícara chá (170 g),codigo_alimento,nome_alimento
Energia,kJ,1699,33,16,84,50,271,152,407,254,3721,2718,2888,BRC0005K,Nome não encontrado
Energia,kcal,400,7,3,19,11,63,35,95,59,875,639,679,BRC0005K,Nome não encontrado
Umidade,g,"0,05","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01","0,11","0,08","0,09",BRC0005K,Nome não encontrado
Carboidrato total,g,"99,6","1,99","1,00","4,98","2,99","15,9","8,97","23,9","14,9",218,159,169,BRC0005K,Nome não encontrado
Carboidrato disponível,g,"99,6","1,99","1,00","4,98","2,99","15,9","8,97","23,9","14,9",218,159,169,BRC0005K,Nome não encontrado
Proteína,g,"0,32","0,01","0,00","0,02","0,01","0,05","0,03","0,08","0,05","0,70","0,51","0,54",BRC0005K,Nome não encontrado
Lipídios,g,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0005K,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Cinzas,g,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0005K,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Cálcio,mg,"7,59","0,15","0,08","0,38","0,23","1,21","0,68","1,82","1,14","16,6","12,1","12,9",BRC0005K,Nome não encontrado
Ferro,mg,"0,16","0,00","0,00","0,01","0,00","0,03","0,01","0,04","0,02","0,36","0,26","0,28",BRC0005K,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0005K,Nome não encontrado
Magnésio,mg,"1,01","0,02","0,01","0,05","0,03","0,16","0,09","0,24","0,15","2,21","1,61","1,71",BRC0005K,Nome não encontrado
Fósforo,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0005K,Nome não encontrado
Potássio,mg,"2,56","0,05","0,03","0,13","0,08","0,41","0,23","0,61","0,38","5,61","4,10","4,35",BRC0005K,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0005K,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0005K,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0005K,Nome não encontrado
Selênio,mcg,"0,60","0,01","0,01","0,03","0,02","0,10","0,05","0,14","0,09","1,31","0,96","1,02",BRC0005K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005K,Nome não encontrado
