componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,422,105,BRC0401A,Nome não encontrado
Energia,kcal,100,25,BRC0401A,Nome não encontrado
Umidade,g,"75,2","18,8",BRC0401A,Nome não encontrado
Carboidrato total,g,"18,7","4,67",BRC0401A,Nome não encontrado
Carboidrato disponível,g,"16,6","4,15",BRC0401A,Nome não encontrado
Proteína,g,"3,80","0,95",BRC0401A,Nome não encontrado
Lipídios,g,"1,59","0,40",BRC0401A,Nome não encontrado
Fibra alimentar,g,"2,10","0,53",BRC0401A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0401A,Nome não encontrado
Cinzas,g,"0,76","0,19",BRC0401A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0401A,Nome não encontrado
Ácidos graxos saturados,g,"0,34","0,09",BRC0401A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,39","0,10",BRC0401A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,63","0,16",BRC0401A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0401A,Nome não encontrado
Cálcio,mg,"47,0","11,8",BRC0401A,Nome não encontrado
Ferro,mg,"2,10","0,53",BRC0401A,Nome não encontrado
Sódio,mg,"6,00","1,50",BRC0401A,Nome não encontrado
Magnésio,mg,"65,0","16,3",BRC0401A,Nome não encontrado
Fósforo,mg,148,"37,0",BRC0401A,Nome não encontrado
Potássio,mg,135,"33,8",BRC0401A,Nome não encontrado
Manganês,mg,"0,85","0,21",BRC0401A,Nome não encontrado
Zinco,mg,"0,86","0,22",BRC0401A,Nome não encontrado
Cobre,mg,"0,15","0,04",BRC0401A,Nome não encontrado
Selênio,mcg,"5,50","1,38",BRC0401A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0401A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0401A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0401A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,05",BRC0401A,Nome não encontrado
Tiamina,mg,"0,02","0,00",BRC0401A,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0401A,Nome não encontrado
Niacina,mg,"0,24","0,06",BRC0401A,Nome não encontrado
Vitamina B6,mg,"0,11","0,03",BRC0401A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0401A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0401A,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0401A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0401A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0401A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0401A,Nome não encontrado
Proteína vegetal,g,"3,80","0,95",BRC0401A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0401A,Nome não encontrado
