componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,334,66,434,BRC0503F,Nome não encontrado
Energia,kcal,80,15,103,BRC0503F,Nome não encontrado
Umidade,g,"83,9","16,8",109,BRC0503F,Nome não encontrado
Carboidrato total,g,"3,26","0,65","4,24",BRC0503F,Nome não encontrado
Carboidrato disponível,g,"2,45","0,49","3,19",BRC0503F,Nome não encontrado
Proteína,g,"8,72","1,74","11,3",BRC0503F,Nome não encontrado
Lipídios,g,"3,73","0,75","4,85",BRC0503F,Nome não encontrado
Fibra alimentar,g,"0,81","0,16","1,05",BRC0503F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0503F,Nome não encontrado
Cinzas,g,"0,45","0,09","0,59",BRC0503F,Nome não encontrado
Colesterol,mg,"15,4","3,09","20,1",BRC0503F,Nome não encontrado
Ácidos graxos saturados,g,"1,05","0,21","1,37",BRC0503F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,18","0,24","1,54",BRC0503F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,22","0,24","1,59",BRC0503F,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,01","0,07",BRC0503F,Nome não encontrado
Cálcio,mg,"7,47","1,49","9,71",BRC0503F,Nome não encontrado
Ferro,mg,"0,71","0,14","0,92",BRC0503F,Nome não encontrado
Sódio,mg,"17,2","3,45","22,4",BRC0503F,Nome não encontrado
Magnésio,mg,"7,62","1,52","9,91",BRC0503F,Nome não encontrado
Fósforo,mg,"60,5","12,1","78,7",BRC0503F,Nome não encontrado
Potássio,mg,142,"28,6",185,BRC0503F,Nome não encontrado
Manganês,mg,"0,05","0,01","0,07",BRC0503F,Nome não encontrado
Zinco,mg,"1,71","0,34","2,22",BRC0503F,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC0503F,Nome não encontrado
Selênio,mcg,"0,40","0,08","0,52",BRC0503F,Nome não encontrado
Vitamina A (RE),mcg,133,"26,7",173,BRC0503F,Nome não encontrado
Vitamina A (RAE),mcg,"67,5","13,5","87,7",BRC0503F,Nome não encontrado
Vitamina D,mcg,"0,07","0,01","0,09",BRC0503F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,32","0,26","1,71",BRC0503F,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0503F,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0503F,Nome não encontrado
Niacina,mg,"0,79","0,16","1,03",BRC0503F,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0503F,Nome não encontrado
Vitamina B12,mcg,"0,34","0,07","0,44",BRC0503F,Nome não encontrado
Vitamina C,mg,"2,02","0,40","2,62",BRC0503F,Nome não encontrado
Equivalente de folato,mcg,"4,90","0,98","6,36",BRC0503F,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0503F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0503F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0503F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0503F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0503F,Nome não encontrado
