componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Dose/ Taça (350 mL),codigo_alimento,nome_alimento
Energia,kJ,171,409,281,597,BRC0009H,Nome não encontrado
Energia,kcal,41,97,67,142,BRC0009H,Nome não encontrado
Umidade,g,"92,4",221,152,323,BRC0009H,Nome não encontrado
Carboidrato total,g,"3,34","8,01","5,51","11,7",BRC0009H,Nome não encontrado
Carboidrato disponível,g,"3,34","8,01","5,51","11,7",BRC0009H,Nome não encontrado
Proteína,g,"0,56","1,35","0,93","1,97",BRC0009H,Nome não encontrado
Lipídios,g,traços,traços,traços,traços,BRC0009H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Álcool,g,"3,60","8,64","5,94","12,6",BRC0009H,Nome não encontrado
Cinzas,g,"0,12","0,29","0,20","0,42",BRC0009H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Cálcio,mg,"4,99","12,0","8,23","17,4",BRC0009H,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,BRC0009H,Nome não encontrado
Sódio,mg,"4,23","10,2","6,98","14,8",BRC0009H,Nome não encontrado
Magnésio,mg,"6,74","16,2","11,1","23,6",BRC0009H,Nome não encontrado
Fósforo,mg,"19,0","45,6","31,4","66,5",BRC0009H,Nome não encontrado
Potássio,mg,"29,5","70,7","48,6",103,BRC0009H,Nome não encontrado
Manganês,mg,"0,01","0,01","0,01","0,02",BRC0009H,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,BRC0009H,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,BRC0009H,Nome não encontrado
Selênio,mcg,"0,57","1,37","0,94","1,99",BRC0009H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,BRC0009H,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0009H,Nome não encontrado
Niacina,mg,"2,92","7,00","4,81","10,2",BRC0009H,Nome não encontrado
Vitamina B6,mg,"0,14","0,34","0,24","0,50",BRC0009H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0009H,Nome não encontrado
Equivalente de folato,mcg,"6,00","14,4","9,90","21,0",BRC0009H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
Proteína vegetal,g,"0,56","1,35","0,93","1,97",BRC0009H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0009H,Nome não encontrado
