componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,379,378,BRC0486E,Nome não encontrado
Energia,kcal,90,89,BRC0486E,Nome não encontrado
Umidade,g,"78,8","78,8",BRC0486E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0486E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0486E,Nome não encontrado
Proteína,g,"18,5","18,5",BRC0486E,Nome não encontrado
Lipídios,g,"1,73","1,73",BRC0486E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0486E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0486E,Nome não encontrado
Cinzas,g,"0,84","0,84",BRC0486E,Nome não encontrado
Colesterol,mg,"50,8","50,8",BRC0486E,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,06",BRC0486E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,51","0,51",BRC0486E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,37","0,37",BRC0486E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0486E,Nome não encontrado
Cálcio,mg,"9,66","9,66",BRC0486E,Nome não encontrado
Ferro,mg,"0,54","0,54",BRC0486E,Nome não encontrado
Sódio,mg,"50,3","50,3",BRC0486E,Nome não encontrado
Magnésio,mg,"26,1","26,1",BRC0486E,Nome não encontrado
Fósforo,mg,164,164,BRC0486E,Nome não encontrado
Potássio,mg,291,291,BRC0486E,Nome não encontrado
Manganês,mg,"0,04","0,04",BRC0486E,Nome não encontrado
Zinco,mg,"0,32","0,32",BRC0486E,Nome não encontrado
Cobre,mg,"0,07","0,07",BRC0486E,Nome não encontrado
Selênio,mcg,"40,4","40,4",BRC0486E,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0486E,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0486E,Nome não encontrado
Vitamina D,mcg,"3,15","3,15",BRC0486E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,41",BRC0486E,Nome não encontrado
Tiamina,mg,"0,04","0,04",BRC0486E,Nome não encontrado
Riboflavina,mg,"0,06","0,06",BRC0486E,Nome não encontrado
Niacina,mg,"3,77","3,77",BRC0486E,Nome não encontrado
Vitamina B6,mg,"0,16","0,16",BRC0486E,Nome não encontrado
Vitamina B12,mcg,"1,53","1,53",BRC0486E,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0486E,Nome não encontrado
Equivalente de folato,mcg,"23,2","23,2",BRC0486E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0486E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0486E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0486E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0486E,Nome não encontrado
Proteína animal,g,"18,5","18,5",BRC0486E,Nome não encontrado
