componente,unidade,Valor por 100g,Porção Média (80 g),codigo_alimento,nome_alimento
Energia,kJ,490,391,BRC0589A,Nome não encontrado
Energia,kcal,117,93,BRC0589A,Nome não encontrado
Umidade,g,"74,8","59,9",BRC0589A,Nome não encontrado
Carboidrato total,g,"14,7","11,8",BRC0589A,Nome não encontrado
Carboidrato disponível,g,"13,2","10,5",BRC0589A,Nome não encontrado
Proteína,g,"4,15","3,32",BRC0589A,Nome não encontrado
Lipídios,g,"4,95","3,96",BRC0589A,Nome não encontrado
Fibra alimentar,g,"1,55","1,24",BRC0589A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0589A,Nome não encontrado
Cinzas,g,"1,35","1,08",BRC0589A,Nome não encontrado
Colesterol,mg,"43,3","34,7",BRC0589A,Nome não encontrado
Ácidos graxos saturados,g,"1,34","1,07",BRC0589A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,33","1,06",BRC0589A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,94","1,55",BRC0589A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02",BRC0589A,Nome não encontrado
Cálcio,mg,"50,0","40,0",BRC0589A,Nome não encontrado
Ferro,mg,"1,13","0,91",BRC0589A,Nome não encontrado
Sódio,mg,334,267,BRC0589A,Nome não encontrado
Magnésio,mg,"15,1","12,1",BRC0589A,Nome não encontrado
Fósforo,mg,"68,3","54,6",BRC0589A,Nome não encontrado
Potássio,mg,162,130,BRC0589A,Nome não encontrado
Manganês,mg,"0,17","0,14",BRC0589A,Nome não encontrado
Zinco,mg,"0,50","0,40",BRC0589A,Nome não encontrado
Cobre,mg,"0,06","0,04",BRC0589A,Nome não encontrado
Selênio,mcg,"3,93","3,14",BRC0589A,Nome não encontrado
Vitamina A (RE),mcg,182,145,BRC0589A,Nome não encontrado
Vitamina A (RAE),mcg,106,"85,2",BRC0589A,Nome não encontrado
Vitamina D,mcg,"0,21","0,17",BRC0589A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,68","0,55",BRC0589A,Nome não encontrado
Tiamina,mg,"0,08","0,06",BRC0589A,Nome não encontrado
Riboflavina,mg,"0,14","0,11",BRC0589A,Nome não encontrado
Niacina,mg,"0,97","0,77",BRC0589A,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0589A,Nome não encontrado
Vitamina B12,mcg,"0,17","0,14",BRC0589A,Nome não encontrado
Vitamina C,mg,"0,53","0,42",BRC0589A,Nome não encontrado
Equivalente de folato,mcg,"40,4","32,3",BRC0589A,Nome não encontrado
Sal de adição,g,"0,47","0,38",BRC0589A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0589A,Nome não encontrado
Gordura de adição,g,-,-,BRC0589A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0589A,Nome não encontrado
Proteína animal,g,-,-,BRC0589A,Nome não encontrado
