componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher sopa cheia (37 g),Colher sopa rasa (22 g),codigo_alimento,nome_alimento
Energia,kJ,435,260,160,95,BRC0294B,Nome não encontrado
Energia,kcal,104,62,38,22,BRC0294B,Nome não encontrado
Umidade,g,"77,0","46,2","28,5","16,9",BRC0294B,Nome não encontrado
Carboidrato total,g,"18,0","10,8","6,66","3,96",BRC0294B,Nome não encontrado
Carboidrato disponível,g,"16,3","9,80","6,04","3,59",BRC0294B,Nome não encontrado
Proteína,g,"0,81","0,49","0,30","0,18",BRC0294B,Nome não encontrado
Lipídios,g,"3,51","2,11","1,30","0,77",BRC0294B,Nome não encontrado
Fibra alimentar,g,"1,67","1,00","0,62","0,37",BRC0294B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0294B,Nome não encontrado
Cinzas,g,"0,74","0,44","0,27","0,16",BRC0294B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0294B,Nome não encontrado
Ácidos graxos saturados,g,"1,09","0,65","0,40","0,24",BRC0294B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,76","0,46","0,28","0,17",BRC0294B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,35","0,81","0,50","0,30",BRC0294B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0294B,Nome não encontrado
Cálcio,mg,"11,5","6,90","4,26","2,53",BRC0294B,Nome não encontrado
Ferro,mg,"0,41","0,24","0,15","0,09",BRC0294B,Nome não encontrado
Sódio,mg,"3,65","2,19","1,35","0,80",BRC0294B,Nome não encontrado
Magnésio,mg,"7,26","4,35","2,68","1,60",BRC0294B,Nome não encontrado
Fósforo,mg,"28,4","17,0","10,5","6,24",BRC0294B,Nome não encontrado
Potássio,mg,245,147,"90,9","54,0",BRC0294B,Nome não encontrado
Manganês,mg,"0,21","0,12","0,08","0,05",BRC0294B,Nome não encontrado
Zinco,mg,"0,36","0,22","0,13","0,08",BRC0294B,Nome não encontrado
Cobre,mg,"0,14","0,08","0,05","0,03",BRC0294B,Nome não encontrado
Selênio,mcg,"0,31","0,18","0,11","0,07",BRC0294B,Nome não encontrado
Vitamina A (RE),mcg,"22,4","13,4","8,29","4,93",BRC0294B,Nome não encontrado
Vitamina A (RAE),mcg,"17,3","10,4","6,41","3,81",BRC0294B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0294B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,75","0,45","0,28","0,16",BRC0294B,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02","0,01",BRC0294B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0294B,Nome não encontrado
Niacina,mg,"1,88","1,13","0,70","0,41",BRC0294B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0294B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0294B,Nome não encontrado
Vitamina C,mg,"16,2","9,75","6,01","3,57",BRC0294B,Nome não encontrado
Equivalente de folato,mcg,"6,60","3,96","2,44","1,45",BRC0294B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0294B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0294B,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0294B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0294B,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0294B,Nome não encontrado
