componente,unidade,Valor por 100g,Colher servir cheia (38 g),Colher sopa cheia (20 g),Colher sopa rasa (14 g),Escumadeira rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,113,42,22,15,50,BRC0044B,Nome não encontrado
Energia,kcal,27,10,5,3,12,BRC0044B,Nome não encontrado
Umidade,g,"91,8","34,9","18,4","12,8","41,3",BRC0044B,Nome não encontrado
Carboidrato total,g,"6,29","2,39","1,26","0,88","2,83",BRC0044B,Nome não encontrado
Carboidrato disponível,g,"4,25","1,61","0,85","0,59","1,91",BRC0044B,Nome não encontrado
Proteína,g,"1,23","0,47","0,25","0,17","0,55",BRC0044B,Nome não encontrado
Lipídios,g,"0,09","0,03","0,02","0,01","0,04",BRC0044B,Nome não encontrado
Fibra alimentar,g,"2,04","0,77","0,41","0,29","0,92",BRC0044B,Nome não encontrado
Álcool,g,-,-,-,-,-,BRC0044B,Nome não encontrado
Cinzas,g,"0,62","0,24","0,12","0,09","0,28",BRC0044B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0044B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01","0,00","0,00","0,01",BRC0044B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,00","0,00","0,01",BRC0044B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,01","0,01","0,00","0,01",BRC0044B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0044B,Nome não encontrado
Cálcio,mg,"13,3","5,06","2,66","1,86","5,99",BRC0044B,Nome não encontrado
Ferro,mg,"0,21","0,08","0,04","0,03","0,09",BRC0044B,Nome não encontrado
Sódio,mg,"19,9","7,55","3,97","2,78","8,94",BRC0044B,Nome não encontrado
Magnésio,mg,"14,4","5,49","2,89","2,02","6,50",BRC0044B,Nome não encontrado
Fósforo,mg,"26,3","9,99","5,26","3,68","11,8",BRC0044B,Nome não encontrado
Potássio,mg,214,"81,4","42,9","30,0","96,4",BRC0044B,Nome não encontrado
Manganês,mg,"0,17","0,06","0,03","0,02","0,07",BRC0044B,Nome não encontrado
Zinco,mg,"0,31","0,12","0,06","0,04","0,14",BRC0044B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01","0,00","0,02",BRC0044B,Nome não encontrado
Selênio,mcg,"0,18","0,07","0,04","0,03","0,08",BRC0044B,Nome não encontrado
Vitamina A (RE),mcg,"1,78","0,67","0,36","0,25","0,80",BRC0044B,Nome não encontrado
Vitamina A (RAE),mcg,"0,89","0,34","0,18","0,12","0,40",BRC0044B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0044B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,01","0,00","0,00","0,01",BRC0044B,Nome não encontrado
Tiamina,mg,"0,08","0,03","0,02","0,01","0,04",BRC0044B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0044B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0044B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0044B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0044B,Nome não encontrado
Vitamina C,mg,"1,08","0,41","0,22","0,15","0,49",BRC0044B,Nome não encontrado
Equivalente de folato,mcg,"50,9","19,3","10,2","7,12","22,9",BRC0044B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0044B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0044B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0044B,Nome não encontrado
Proteína vegetal,g,"1,23","0,47","0,25","0,17","0,55",BRC0044B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0044B,Nome não encontrado
