componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,570,341,256,BRC0224E,Nome não encontrado
Energia,kcal,137,81,61,BRC0224E,Nome não encontrado
Umidade,g,"72,5","43,5","32,6",BRC0224E,Nome não encontrado
Carboidrato total,g,"4,34","2,60","1,95",BRC0224E,Nome não encontrado
Carboidrato disponível,g,"3,55","2,13","1,60",BRC0224E,Nome não encontrado
Proteína,g,"11,8","7,10","5,32",BRC0224E,Nome não encontrado
Lipídios,g,"8,16","4,89","3,67",BRC0224E,Nome não encontrado
Fibra alimentar,g,"0,88","0,53","0,39",BRC0224E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0224E,Nome não encontrado
Cinzas,g,"3,21","1,93","1,44",BRC0224E,Nome não encontrado
Colesterol,mg,"52,1","31,3","23,4",BRC0224E,Nome não encontrado
Ácidos graxos saturados,g,"1,39","0,84","0,63",BRC0224E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,91","2,94","2,21",BRC0224E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,53","0,92","0,69",BRC0224E,Nome não encontrado
Ácidos graxos trans,g,"0,47","0,28","0,21",BRC0224E,Nome não encontrado
Cálcio,mg,"32,5","19,5","14,6",BRC0224E,Nome não encontrado
Ferro,mg,"0,34","0,20","0,15",BRC0224E,Nome não encontrado
Sódio,mg,792,475,356,BRC0224E,Nome não encontrado
Magnésio,mg,"11,7","7,00","5,25",BRC0224E,Nome não encontrado
Fósforo,mg,"38,0","22,8","17,1",BRC0224E,Nome não encontrado
Potássio,mg,121,"72,7","54,6",BRC0224E,Nome não encontrado
Manganês,mg,"0,04","0,03","0,02",BRC0224E,Nome não encontrado
Zinco,mg,"0,35","0,21","0,16",BRC0224E,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02",BRC0224E,Nome não encontrado
Selênio,mcg,"0,10","0,06","0,05",BRC0224E,Nome não encontrado
Vitamina A (RE),mcg,"15,0","8,99","6,74",BRC0224E,Nome não encontrado
Vitamina A (RAE),mcg,"7,49","4,49","3,37",BRC0224E,Nome não encontrado
Vitamina D,mcg,"2,34","1,40","1,05",BRC0224E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,96","1,77","1,33",BRC0224E,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,02",BRC0224E,Nome não encontrado
Riboflavina,mg,"0,03","0,02","0,01",BRC0224E,Nome não encontrado
Niacina,mg,"4,94","2,96","2,22",BRC0224E,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,02",BRC0224E,Nome não encontrado
Vitamina B12,mcg,"0,69","0,42","0,31",BRC0224E,Nome não encontrado
Vitamina C,mg,"24,4","14,7","11,0",BRC0224E,Nome não encontrado
Equivalente de folato,mcg,"12,1","7,28","5,46",BRC0224E,Nome não encontrado
Sal de adição,g,"0,45","0,27","0,20",BRC0224E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0224E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0224E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0224E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0224E,Nome não encontrado
