componente,unidade,Valor por 100g,Porção Média (110 g),codigo_alimento,nome_alimento
Energia,kJ,1416,1557,BRC0474F,Nome não encontrado
Energia,kcal,339,373,BRC0474F,Nome não encontrado
Umidade,g,"36,5","40,1",BRC0474F,Nome não encontrado
Carboidrato total,g,"24,7","27,1",BRC0474F,Nome não encontrado
Carboidrato disponível,g,"22,7","25,0",BRC0474F,Nome não encontrado
Proteína,g,"15,4","17,0",BRC0474F,Nome não encontrado
Lipídios,g,"20,3","22,4",BRC0474F,Nome não encontrado
Fibra alimentar,g,"1,95","2,14",BRC0474F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0474F,Nome não encontrado
Cinzas,g,"3,10","3,41",BRC0474F,Nome não encontrado
Colesterol,mg,"36,0","39,6",BRC0474F,Nome não encontrado
Ácidos graxos saturados,g,"4,18","4,59",BRC0474F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,88","6,47",BRC0474F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"8,96","9,85",BRC0474F,Nome não encontrado
Ácidos graxos trans,g,"0,11","0,12",BRC0474F,Nome não encontrado
Cálcio,mg,"47,0","51,7",BRC0474F,Nome não encontrado
Ferro,mg,"1,77","1,95",BRC0474F,Nome não encontrado
Sódio,mg,800,880,BRC0474F,Nome não encontrado
Magnésio,mg,"39,0","42,9",BRC0474F,Nome não encontrado
Fósforo,mg,237,260,BRC0474F,Nome não encontrado
Potássio,mg,340,374,BRC0474F,Nome não encontrado
Manganês,mg,"0,57","0,63",BRC0474F,Nome não encontrado
Zinco,mg,"0,93","1,02",BRC0474F,Nome não encontrado
Cobre,mg,"0,17","0,18",BRC0474F,Nome não encontrado
Selênio,mcg,"21,0","23,1",BRC0474F,Nome não encontrado
Vitamina A (RE),mcg,"13,6","14,9",BRC0474F,Nome não encontrado
Vitamina A (RAE),mcg,"13,6","14,9",BRC0474F,Nome não encontrado
Vitamina D,mcg,,,BRC0474F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,35","1,48",BRC0474F,Nome não encontrado
Tiamina,mg,"0,10","0,11",BRC0474F,Nome não encontrado
Riboflavina,mg,"0,07","0,07",BRC0474F,Nome não encontrado
Niacina,mg,"7,09","7,79",BRC0474F,Nome não encontrado
Vitamina B6,mg,"0,25","0,27",BRC0474F,Nome não encontrado
Vitamina B12,mcg,"0,23","0,25",BRC0474F,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0474F,Nome não encontrado
Equivalente de folato,mcg,"61,9","68,1",BRC0474F,Nome não encontrado
Sal de adição,g,,,BRC0474F,Nome não encontrado
Açúcar de adição,g,,,BRC0474F,Nome não encontrado
Gordura de adição,g,,,BRC0474F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0474F,Nome não encontrado
Proteína animal,g,"15,4","17,0",BRC0474F,Nome não encontrado
