componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,198,396,BRC0090H,Nome não encontrado
Energia,kcal,47,93,BRC0090H,Nome não encontrado
Umidade,g,"88,0",176,BRC0090H,Nome não encontrado
Carboidrato total,g,"9,49","19,0",BRC0090H,Nome não encontrado
Carboidrato disponível,g,"9,49","19,0",BRC0090H,Nome não encontrado
Proteína,g,"1,74","3,47",BRC0090H,Nome não encontrado
Lipídios,g,"0,20","0,41",BRC0090H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0090H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0090H,Nome não encontrado
Cinzas,g,"0,56","1,12",BRC0090H,Nome não encontrado
Colesterol,mg,"1,77","3,53",BRC0090H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01",BRC0090H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,05",BRC0090H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0090H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0090H,Nome não encontrado
Cálcio,mg,"67,5",135,BRC0090H,Nome não encontrado
Ferro,mg,"0,13","0,26",BRC0090H,Nome não encontrado
Sódio,mg,"25,4","50,8",BRC0090H,Nome não encontrado
Magnésio,mg,"11,0","22,0",BRC0090H,Nome não encontrado
Fósforo,mg,"45,6","91,2",BRC0090H,Nome não encontrado
Potássio,mg,149,299,BRC0090H,Nome não encontrado
Manganês,mg,"0,14","0,28",BRC0090H,Nome não encontrado
Zinco,mg,"0,19","0,38",BRC0090H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0090H,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0090H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0090H,Nome não encontrado
Vitamina A (RAE),mcg,"4,23","8,46",BRC0090H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0090H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,07",BRC0090H,Nome não encontrado
Tiamina,mg,"0,03","0,05",BRC0090H,Nome não encontrado
Riboflavina,mg,"0,16","0,32",BRC0090H,Nome não encontrado
Niacina,mg,"0,79","1,59",BRC0090H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0090H,Nome não encontrado
Vitamina B12,mcg,"0,26","0,52",BRC0090H,Nome não encontrado
Vitamina C,mg,traços,,BRC0090H,Nome não encontrado
Equivalente de folato,mcg,"3,52","7,04",BRC0090H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0090H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0090H,Nome não encontrado
Gordura de adição,g,-,-,BRC0090H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0090H,Nome não encontrado
Proteína animal,g,-,-,BRC0090H,Nome não encontrado
